ID	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	LOWER BOUND	UPPER BOUND	OBJECTIVE	COMPARTMENT	MIRIAM	SUBSYSTEM
R00344	Pyruvate:carbon-dioxide ligase (ADP-forming)	ATP[s] + Pyruvate[s] + HCO3-[s] <=> ADP[s] + Orthophosphate[s] + Oxaloacetate[s]	ec-code/6.4.1.1	maker-NODE_1_length_1866239_cov_27.8708_ID_1-snap-gene-10.62-mRNA-1_1	-1000	1000			kegg.reaction/R00344;kegg.pathway/rn00020;kegg.pathway/rn00620;kegg.pathway/rn00720;kegg.module/M00173;kegg.orthology/K01958;rhea/20847	Citrate cycle (TCA cycle);Pyruvate metabolism;Carbon fixation pathways in prokaryotes
R00348	2-oxosuccinamate amidohydrolase	H2O[s] + 2-Oxosuccinamate[s] => Ammonia[s] + Oxaloacetate[s]	ec-code/3.5.1.3	augustus_masked-NODE_5_length_492506_cov_27.4869_ID_9-processed-gene-2.19-mRNA-1_1 or augustus_masked-NODE_7_length_420504_cov_27.1491_ID_13-processed-gene-0.95-mRNA-1_1	0	1000			kegg.reaction/R00348;kegg.pathway/rn00250;kegg.orthology/K13566	Alanine, aspartate and glutamate metabolism
R00351	acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing)	CoA[s] + Citrate[s] <=> H2O[s] + Acetyl-CoA[s] + Oxaloacetate[s]	ec-code/2.3.3.1;ec-code/2.3.3.3;ec-code/2.3.3.16	augustus_masked-NODE_5_length_492506_cov_27.4869_ID_9-processed-gene-2.10-mRNA-1_1 or augustus_masked-NODE_26_length_226459_cov_28.0762_ID_51-processed-gene-1.42-mRNA-1_1	-1000	1000			kegg.reaction/R00351;kegg.pathway/rn00020;kegg.pathway/rn00630;kegg.module/M00009;kegg.orthology/K01647;rhea/16848	Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism
R00352	acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]	ATP[s] + CoA[s] + Citrate[s] <=> ADP[s] + Orthophosphate[s] + Acetyl-CoA[s] + Oxaloacetate[s]	ec-code/2.3.3.8	augustus_masked-NODE_7_length_420504_cov_27.1491_ID_13-processed-gene-1.25-mRNA-1_1 or augustus_masked-NODE_33_length_161565_cov_26.848_ID_65-processed-gene-0.16-mRNA-1_1	-1000	1000			kegg.reaction/R00352;kegg.pathway/rn00020;kegg.pathway/rn00720;kegg.module/M00173;kegg.orthology/K01648;rhea/21163	Citrate cycle (TCA cycle);Carbon fixation pathways in prokaryotes
R00355	L-Aspartate:2-oxoglutarate aminotransferase	2-Oxoglutarate[s] + L-Aspartate[s] <=> L-Glutamate[s] + Oxaloacetate[s]	ec-code/2.6.1.1	maker-NODE_24_length_234863_cov_28.0511_ID_47-augustus-gene-1.190-mRNA-1_1 or augustus_masked-NODE_9_length_374175_cov_27.2202_ID_17-processed-gene-2.27-mRNA-1_1	-1000	1000			kegg.reaction/R00355;kegg.pathway/rn00220;kegg.pathway/rn00250;kegg.pathway/rn00710;kegg.module/M00170;kegg.orthology/K00811;kegg.orthology/K14454;kegg.orthology/K14455;rhea/21827	Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Carbon fixation in photosynthetic organisms
R00359	D-Aspartate:oxygen oxidoreductase (deaminating)	H2O[s] + Oxygen[s] + D-Aspartate[s] => Ammonia[s] + Hydrogen peroxide[s] + Oxaloacetate[s]	ec-code/1.4.3.1;ec-code/1.4.3.15	augustus_masked-NODE_21_length_257472_cov_26.5738_ID_41-processed-gene-1.172-mRNA-1_1	0	1000			kegg.reaction/R00359;kegg.pathway/rn00250;kegg.orthology/K00272;rhea/12515	Alanine, aspartate and glutamate metabolism
R00366	glycine:oxygen oxidoreductase (deaminating);	H2O[s] + Oxygen[s] + Glycine[s] <=> Ammonia[s] + Hydrogen peroxide[s] + Glyoxylate[s]	ec-code/1.4.3.3;ec-code/1.4.3.19	augustus_masked-NODE_21_length_257472_cov_26.5738_ID_41-processed-gene-1.172-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-17.275-mRNA-1_1	-1000	1000			kegg.reaction/R00366;kegg.pathway/rn00260;kegg.orthology/K00273;rhea/11535	Glycine, serine and threonine metabolism
R00369	L-Alanine:glyoxylate aminotransferase	L-Alanine[s] + Glyoxylate[s] <=> Pyruvate[s] + Glycine[s]	ec-code/2.6.1.44	augustus_masked-NODE_25_length_227728_cov_27.0207_ID_49-processed-gene-1.43-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-3.121-mRNA-1_1	-1000	1000			kegg.reaction/R00369;kegg.pathway/rn00250;kegg.orthology/K00830;kegg.orthology/K14272;rhea/24251	Alanine, aspartate and glutamate metabolism
R00372	Glycine:2-oxoglutarate aminotransferase	2-Oxoglutarate[s] + Glycine[s] <=> L-Glutamate[s] + Glyoxylate[s]	ec-code/2.6.1.4;ec-code/2.6.1.44	augustus_masked-NODE_25_length_227728_cov_27.0207_ID_49-processed-gene-1.43-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-3.121-mRNA-1_1	-1000	1000			kegg.reaction/R00372;kegg.pathway/rn00260;kegg.pathway/rn00630;kegg.module/M00532;kegg.orthology/K00830;kegg.orthology/K14272;rhea/14092	Glycine, serine and threonine metabolism;Glyoxylate and dicarboxylate metabolism
R00409	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate[s] <=> Pyruvate[s] + Succinate[s]	ec-code/4.1.3.30	augustus_masked-NODE_40_length_112643_cov_36.2668_ID_79-processed-gene-0.113-mRNA-1_1 or augustus_masked-NODE_6_length_431703_cov_27.3617_ID_11-processed-gene-3.15-mRNA-1_1	-1000	1000			kegg.reaction/R00409;kegg.pathway/rn00640;kegg.orthology/K03417;rhea/16812	Propanoate metabolism
R00410	succinyl-CoA:acetoacetate CoA-transferase	Succinyl-CoA[s] + Acetoacetate[s] <=> Succinate[s] + Acetoacetyl-CoA[s]	ec-code/2.8.3.5	augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-4.120-mRNA-1_1	-1000	1000			kegg.reaction/R00410;kegg.pathway/rn00072;kegg.pathway/rn00280;kegg.pathway/rn00650;kegg.orthology/K01027;rhea/25483	Synthesis and degradation of ketone bodies;Valine, leucine and isoleucine degradation;Butanoate metabolism
R00416	UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase	UTP[s] + N-Acetyl-alpha-D-glucosamine 1-phosphate[s] <=> Diphosphate[s] + UDP-N-acetyl-alpha-D-glucosamine[s]	ec-code/2.7.7.23	augustus_masked-NODE_45_length_98638_cov_26.1847_ID_89-processed-gene-0.123-mRNA-1_1	-1000	1000			kegg.reaction/R00416;kegg.pathway/rn00520;kegg.orthology/K00972;rhea/13512	Amino sugar and nucleotide sugar metabolism
R00425	GTP 7,8-8,9-dihydrolase (diphosphate-forming)	3 H2O[s] + GTP[s] <=> Diphosphate[s] + Formate[s] + 2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one[s]	ec-code/3.5.4.25	augustus_masked-NODE_13_length_316427_cov_31.537_ID_25-processed-gene-0.28-mRNA-1_1 or augustus_masked-NODE_12_length_347462_cov_28.1594_ID_23-processed-gene-0.8-mRNA-1_1	-1000	1000			kegg.reaction/R00425;kegg.pathway/rn00740;kegg.pathway/rn00790;kegg.module/M00125;kegg.orthology/K01497;kegg.orthology/K14652;rhea/23707	Riboflavin metabolism;Folate biosynthesis
R00426	GTP diphosphohydrolase (diphosphate-forming);	H2O[s] + GTP[s] => Diphosphate[s] + GMP[s]	ec-code/3.6.1.8;ec-code/3.6.1.-	augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-7.137-mRNA-1_1	0	1000			kegg.reaction/R00426;kegg.pathway/rn00230;kegg.orthology/K01519;rhea/29394	Purine metabolism
R00428	GTP 8,9-hydrolase	H2O[s] + GTP[s] <=> Formamidopyrimidine nucleoside triphosphate[s]	ec-code/3.5.4.16	augustus_masked-NODE_24_length_234863_cov_28.0511_ID_47-processed-gene-0.37-mRNA-1_1	-1000	1000			kegg.reaction/R00428;kegg.pathway/rn00790;kegg.module/M00126;kegg.orthology/K01495	Folate biosynthesis
R00430	GTP:pyruvate 2-O-phosphotransferase	Pyruvate[s] + GTP[s] <=> GDP[s] + Phosphoenolpyruvate[s]	ec-code/2.7.1.40	maker-NODE_3_length_533584_cov_27.3585_ID_5-augustus-gene-2.81-mRNA-1_1	-1000	1000			kegg.reaction/R00430;kegg.pathway/rn00230;kegg.module/M00050;kegg.orthology/K00873;kegg.orthology/K12406;rhea/30298	Purine metabolism
R00432	Succinate:CoA ligase (GDP-forming)	CoA[s] + Succinate[s] + GTP[s] <=> Orthophosphate[s] + GDP[s] + Succinyl-CoA[s]	ec-code/6.2.1.4	augustus_masked-NODE_44_length_99337_cov_31.1569_ID_87-processed-gene-0.23-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-4.33-mRNA-1_1	-1000	1000			kegg.reaction/R00432;kegg.pathway/rn00020;kegg.pathway/rn00640;kegg.module/M00009;kegg.orthology/K01899;kegg.orthology/K01900;rhea/22123	Citrate cycle (TCA cycle);Propanoate metabolism
R00434	GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)	GTP[s] => Diphosphate[s] + 3',5'-Cyclic GMP[s]	ec-code/4.6.1.1;ec-code/4.6.1.2	maker-NODE_5_length_492506_cov_27.4869_ID_9-augustus-gene-2.123-mRNA-1_1	0	1000			kegg.reaction/R00434;kegg.pathway/rn00230;kegg.orthology/K01768;rhea/13668	Purine metabolism
R00470	4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming)	4-Hydroxy-2-oxoglutarate[s] <=> Pyruvate[s] + Glyoxylate[s]	ec-code/4.1.3.16;ec-code/4.1.3.42	augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.68-mRNA-1_1	-1000	1000			kegg.reaction/R00470;kegg.pathway/rn00630;kegg.orthology/K18123;rhea/18172	Glyoxylate and dicarboxylate metabolism
R00471	4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming)	(4R)-4-Hydroxy-2-oxoglutarate[s] <=> Pyruvate[s] + Glyoxylate[s]	ec-code/4.1.3.16	augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.68-mRNA-1_1	-1000	1000			kegg.reaction/R00471;kegg.pathway/rn00330;kegg.orthology/K18123;rhea/30690	Arginine and proline metabolism
R00472	acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming);	CoA[s] + (S)-Malate[s] <=> H2O[s] + Acetyl-CoA[s] + Glyoxylate[s]	ec-code/2.3.3.9	augustus_masked-NODE_37_length_124811_cov_26.8911_ID_73-processed-gene-0.113-mRNA-1_1	-1000	1000			kegg.reaction/R00472;kegg.pathway/rn00620;kegg.pathway/rn00630;kegg.module/M00012;kegg.orthology/K01638;rhea/18184	Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism
R00475	glycolate:oxygen 2-oxidoreductase	Oxygen[s] + Glycolate[s] <=> Hydrogen peroxide[s] + Glyoxylate[s]	ec-code/1.1.3.15	maker-NODE_8_length_386848_cov_31.3559_ID_15-snap-gene-1.44-mRNA-1_1 or maker-NODE_28_length_204468_cov_32.9351_ID_55-augustus-gene-1.46-mRNA-1_1 or augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.34-mRNA-1_1 or augustus_masked-NODE_21_length_257472_cov_26.5738_ID_41-processed-gene-1.173-mRNA-1_1 or augustus_masked-NODE_23_length_245976_cov_27.2225_ID_45-processed-gene-0.1-mRNA-1_1	-1000	1000			kegg.reaction/R00475;kegg.pathway/rn00630;kegg.module/M00532;kegg.orthology/K11517;rhea/25314	Glyoxylate and dicarboxylate metabolism
R00479	isocitrate glyoxylate-lyase (succinate-forming)	Isocitrate[s] <=> Succinate[s] + Glyoxylate[s]	ec-code/4.1.3.1	augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-4.110-mRNA-1_1 or augustus_masked-NODE_41_length_105529_cov_27.8891_ID_81-processed-gene-0.28-mRNA-1_1	-1000	1000			kegg.reaction/R00479;kegg.pathway/rn00630;kegg.module/M00012;kegg.orthology/K01637;rhea/13248	Glyoxylate and dicarboxylate metabolism
R00480	ATP:L-aspartate 4-phosphotransferase	ATP[s] + L-Aspartate[s] <=> ADP[s] + 4-Phospho-L-aspartate[s]	ec-code/2.7.2.4	augustus_masked-NODE_16_length_303609_cov_28.553_ID_31-processed-gene-1.135-mRNA-1_1	-1000	1000			kegg.reaction/R00480;kegg.pathway/rn00260;kegg.pathway/rn00261;kegg.pathway/rn00270;kegg.pathway/rn00300;kegg.module/M00016;kegg.orthology/K00928;rhea/23779	Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Lysine biosynthesis
R00486	3-Cyano-L-alanine aminohydrolase	2 H2O[s] + 3-Cyano-L-alanine[s] <=> Ammonia[s] + L-Aspartate[s]	ec-code/3.5.5.4	augustus_masked-NODE_5_length_492506_cov_27.4869_ID_9-processed-gene-3.236-mRNA-1_1	-1000	1000			kegg.reaction/R00486;kegg.pathway/rn00460;kegg.orthology/K13035;rhea/11191	Cyanoamino acid metabolism
R00489	L-aspartate 1-carboxy-lyase (beta-alanine-forming)	L-Aspartate[s] <=> CO2[s] + beta-Alanine[s]	ec-code/4.1.1.11;ec-code/4.1.1.15	augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-7.104-mRNA-1_1 or augustus_masked-NODE_23_length_245976_cov_27.2225_ID_45-processed-gene-0.5-mRNA-1_1	-1000	1000			kegg.reaction/R00489;kegg.pathway/rn00410;kegg.pathway/rn00770;kegg.module/M00119;kegg.orthology/K01580;kegg.orthology/K18966;rhea/19500	beta-Alanine metabolism;Pantothenate and CoA biosynthesis
R00494	glutathione gamma-glutamylaminopeptidase	H2O[s] + Glutathione[s] <=> L-Glutamate[s] + Cys-Gly[s]	ec-code/3.4.19.13	augustus_masked-NODE_23_length_245976_cov_27.2225_ID_45-processed-gene-1.151-mRNA-1_1 or augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-11.250-mRNA-1_1 or augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-2.141-mRNA-1_1	-1000	1000			kegg.reaction/R00494;kegg.pathway/rn00480;kegg.orthology/K00681;kegg.orthology/K18592;rhea/28810	Glutathione metabolism
R00497	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)	ATP[s] + Glycine[s] + gamma-L-Glutamyl-L-cysteine[s] <=> ADP[s] + Orthophosphate[s] + Glutathione[s]	ec-code/6.3.2.3	augustus_masked-NODE_24_length_234863_cov_28.0511_ID_47-processed-gene-0.20-mRNA-1_1	-1000	1000			kegg.reaction/R00497;kegg.pathway/rn00480;kegg.module/M00118;kegg.orthology/K21456;rhea/13560	Glutathione metabolism
R00508	3'-phospho-5'-adenylyl sulfate 3'-phosphohydrolase	H2O[s] + 3'-Phosphoadenylyl sulfate[s] <=> Orthophosphate[s] + Adenylyl sulfate[s]	ec-code/3.1.3.7	augustus_masked-NODE_27_length_218879_cov_27.44_ID_53-processed-gene-0.86-mRNA-1_1	-1000	1000			kegg.reaction/R00508;kegg.pathway/rn00920;kegg.orthology/K01082;kegg.orthology/K15422	Sulfur metabolism
R00509	ATP:adenylylsulfate 3'-phosphotransferase	ATP[s] + Adenylyl sulfate[s] <=> ADP[s] + 3'-Phosphoadenylyl sulfate[s]	ec-code/2.7.1.25	augustus_masked-NODE_26_length_226459_cov_28.0762_ID_51-processed-gene-1.35-mRNA-1_1	-1000	1000			kegg.reaction/R00509;kegg.pathway/rn00230;kegg.pathway/rn00920;kegg.module/M00176;kegg.orthology/K00860;rhea/24155	Purine metabolism;Sulfur metabolism
R00512	ATP:CMP phosphotransferase	ATP[s] + CMP[s] <=> ADP[s] + CDP[s]	ec-code/2.7.4.14;ec-code/2.7.4.25	augustus_masked-NODE_16_length_303609_cov_28.553_ID_31-processed-gene-2.154-mRNA-1_1 or augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-8.94-mRNA-1_1	-1000	1000			kegg.reaction/R00512;kegg.pathway/rn00240;kegg.orthology/K13800;rhea/11603	Pyrimidine metabolism
R00513	ATP:cytidine 5'-phosphotransferase	ATP[s] + Cytidine[s] <=> ADP[s] + CMP[s]	ec-code/2.7.1.48;ec-code/2.7.1.213	augustus_masked-NODE_16_length_303609_cov_28.553_ID_31-processed-gene-0.8-mRNA-1_1	-1000	1000			kegg.reaction/R00513;kegg.pathway/rn00240;kegg.orthology/K00876;rhea/24677	Pyrimidine metabolism
R00514	CDP phosphohydrolase	H2O[s] + CDP[s] => Orthophosphate[s] + CMP[s]	ec-code/3.6.1.5	augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-2.118-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-13.100-mRNA-1_1 or augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-1.118-mRNA-1_1 or maker-NODE_1_length_1866239_cov_27.8708_ID_1-snap-gene-8.124-mRNA-1_1	0	1000			kegg.reaction/R00514;kegg.pathway/rn00240;kegg.orthology/K01510;kegg.orthology/K14641;kegg.orthology/K14642	Pyrimidine metabolism
R00515	CTP diphosphohydrolase (diphosphate-forming);	H2O[s] + CTP[s] => Diphosphate[s] + CMP[s]	ec-code/3.6.1.8;ec-code/3.6.1.9;ec-code/3.6.1.65	augustus_masked-NODE_32_length_166735_cov_34.256_ID_63-processed-gene-0.34-mRNA-1_1	0	1000			kegg.reaction/R00515;kegg.pathway/rn00240;kegg.orthology/K01513;rhea/27765	Pyrimidine metabolism
R00516	UTP:cytidine 5'-phosphotransferase	UTP[s] + Cytidine[s] <=> UDP[s] + CMP[s]	ec-code/2.7.1.48	augustus_masked-NODE_16_length_303609_cov_28.553_ID_31-processed-gene-0.8-mRNA-1_1	-1000	1000			kegg.reaction/R00516;kegg.pathway/rn00240;kegg.orthology/K00876	Pyrimidine metabolism
R00517	GTP:cytidine 5'-phosphotransferase	GTP[s] + Cytidine[s] <=> GDP[s] + CMP[s]	ec-code/2.7.1.48	augustus_masked-NODE_16_length_303609_cov_28.553_ID_31-processed-gene-0.8-mRNA-1_1	-1000	1000			kegg.reaction/R00517;kegg.pathway/rn00240;kegg.orthology/K00876;rhea/28165	Pyrimidine metabolism
R00519	formate:NAD+ oxidoreductase	NAD+[s] + Formate[s] <=> NADH[s] + CO2[s] + H+[s]	ec-code/1.17.1.9	augustus_masked-NODE_12_length_347462_cov_28.1594_ID_23-processed-gene-2.33-mRNA-1_1	-1000	1000			kegg.reaction/R00519;kegg.pathway/rn00630;kegg.pathway/rn00680;kegg.orthology/K00122;rhea/15988	Glyoxylate and dicarboxylate metabolism;Methane metabolism
R00524	Formamide amidohydrolase	H2O[s] + Formamide[s] <=> Ammonia[s] + Formate[s]	ec-code/3.5.1.49	augustus_masked-NODE_15_length_308614_cov_31.3159_ID_29-processed-gene-1.110-mRNA-1_1	-1000	1000			kegg.reaction/R00524;kegg.pathway/rn00460;kegg.pathway/rn00630;kegg.pathway/rn00910;kegg.orthology/K01455;rhea/21951	Cyanoamino acid metabolism;Glyoxylate and dicarboxylate metabolism;Nitrogen metabolism
R00527	S-Formylglutathione hydrolase	H2O[s] + S-Formylglutathione[s] <=> Glutathione[s] + Formate[s]	ec-code/3.1.2.12	augustus_masked-NODE_16_length_303609_cov_28.553_ID_31-processed-gene-0.34-mRNA-1_1	-1000	1000			kegg.reaction/R00527;kegg.pathway/rn00680;kegg.orthology/K01070;rhea/14964	Methane metabolism
R00529	ATP:sulfate adenylyltransferase	ATP[s] + Sulfate[s] <=> Diphosphate[s] + Adenylyl sulfate[s]	ec-code/2.7.7.4	augustus_masked-NODE_19_length_271016_cov_27.2153_ID_37-processed-gene-1.210-mRNA-1_1	-1000	1000			kegg.reaction/R00529;kegg.pathway/rn00230;kegg.pathway/rn00261;kegg.pathway/rn00920;kegg.module/M00176;kegg.orthology/K00958;rhea/18136	Purine metabolism;Monobactam biosynthesis;Sulfur metabolism
R00548	riboflavin-5-phosphate phosphohydrolase	H2O[s] + FMN[s] <=> Orthophosphate[s] + Riboflavin[s]	ec-code/3.1.3.2;ec-code/3.1.3.102	maker-NODE_22_length_248937_cov_28.0058_ID_43-snap-gene-1.149-mRNA-1_1 or augustus_masked-NODE_11_length_349578_cov_28.2102_ID_21-processed-gene-1.24-mRNA-1_1 or maker-NODE_11_length_349578_cov_28.2102_ID_21-augustus-gene-1.45-mRNA-1_1 or maker-NODE_1_length_1866239_cov_27.8708_ID_1-augustus-gene-1.47-mRNA-1_1	-1000	1000			kegg.reaction/R00548;kegg.pathway/rn00740;kegg.orthology/K01078;kegg.orthology/K14394;rhea/35590	Riboflavin metabolism
R00549	ATP:riboflavin 5'-phosphotransferase	ATP[s] + Riboflavin[s] <=> ADP[s] + FMN[s]	ec-code/2.7.1.26	augustus_masked-NODE_2_length_1276072_cov_27.1787_ID_3-processed-gene-7.120-mRNA-1_1	-1000	1000			kegg.reaction/R00549;kegg.pathway/rn00740;kegg.module/M00125;kegg.orthology/K00861;rhea/14360	Riboflavin metabolism
R00551	L-Arginine amidinohydrolase	H2O[s] + L-Arginine[s] <=> L-Ornithine[s] + Urea[s]	ec-code/3.5.3.1	augustus_masked-NODE_6_length_431703_cov_27.3617_ID_11-processed-gene-2.0-mRNA-1_1	-1000	1000			kegg.reaction/R00551;kegg.pathway/rn00220;kegg.pathway/rn00330;kegg.module/M00029;kegg.orthology/K01476;rhea/20572	Arginine biosynthesis;Arginine and proline metabolism
R00557	L-arginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)	3 NADPH[s] + 4 Oxygen[s] + 2 L-Arginine[s] + 3 H+[s] <=> 4 H2O[s] + 3 NADP+[s] + 2 L-Citrulline[s] + 2 Nitric oxide[s]	ec-code/1.14.13.39	augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.20-mRNA-1_1 or augustus_masked-NODE_12_length_347462_cov_28.1594_ID_23-processed-gene-1.16-mRNA-1_1	-1000	1000			kegg.reaction/R00557;kegg.pathway/rn00220;kegg.orthology/K13240;kegg.orthology/K13241;rhea/19900	Arginine biosynthesis
R00558	L-arginine,NADPH:oxygen oxidoreductase (N-(omega)-hydroxyarginine-forming)	NADPH[s] + Oxygen[s] + L-Arginine[s] + H+[s] => H2O[s] + NADP+[s] + N(omega)-Hydroxyarginine[s]	ec-code/1.14.13.39	augustus_masked-NODE_8_length_386848_cov_31.3559_ID_15-processed-gene-2.20-mRNA-1_1 or augustus_masked-NODE_12_length_347462_cov_28.1594_ID_23-processed-gene-1.16-mRNA-1_1	0	1000			kegg.reaction/R00558;kegg.pathway/rn00330;kegg.orthology/K13240;kegg.orthology/K13241;rhea/24663	Arginine and proline metabolism
R00569	CTP phosphohydrolase	H2O[s] + CTP[s] => Orthophosphate[s] + CDP[s]	ec-code/3.6.1.5	augustus_masked-NODE_14_length_313792_cov_28.8988_ID_27-processed-gene-2.118-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-13.100-mRNA-1_1 or augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-1.118-mRNA-1_1 or maker-NODE_1_length_1866239_cov_27.8708_ID_1-snap-gene-8.124-mRNA-1_1	0	1000			kegg.reaction/R00569;kegg.pathway/rn00240;kegg.orthology/K01510;kegg.orthology/K14641;kegg.orthology/K14642	Pyrimidine metabolism
R00570	ATP:CDP phosphotransferase	ATP[s] + CDP[s] <=> ADP[s] + CTP[s]	ec-code/2.7.4.6	augustus_masked-NODE_3_length_533584_cov_27.3585_ID_5-processed-gene-2.123-mRNA-1_1	-1000	1000			kegg.reaction/R00570;kegg.pathway/rn00240;kegg.module/M00052;kegg.orthology/K00940;rhea/25240	Pyrimidine metabolism
R00571	UTP:ammonia ligase (ADP-forming)	ATP[s] + Ammonia[s] + UTP[s] <=> ADP[s] + Orthophosphate[s] + CTP[s]	ec-code/6.3.4.2	augustus_masked-NODE_30_length_172163_cov_26.6541_ID_59-processed-gene-0.10-mRNA-1_1	-1000	1000			kegg.reaction/R00571;kegg.pathway/rn00240;kegg.module/M00052;kegg.orthology/K01937;rhea/16600	Pyrimidine metabolism
R00573	UTP:L-glutamine amido-ligase (ADP-forming)	H2O[s] + ATP[s] + L-Glutamine[s] + UTP[s] <=> ADP[s] + Orthophosphate[s] + L-Glutamate[s] + CTP[s]	ec-code/6.3.4.2	augustus_masked-NODE_30_length_172163_cov_26.6541_ID_59-processed-gene-0.10-mRNA-1_1	-1000	1000			kegg.reaction/R00573;kegg.pathway/rn00240;kegg.module/M00052;kegg.orthology/K01937;rhea/26429	Pyrimidine metabolism
R00575	HCO3-:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)	H2O[s] + 2 ATP[s] + L-Glutamine[s] + HCO3-[s] <=> 2 ADP[s] + Orthophosphate[s] + L-Glutamate[s] + Carbamoyl phosphate[s]	ec-code/6.3.5.5	augustus_masked-NODE_12_length_347462_cov_28.1594_ID_23-processed-gene-2.30-mRNA-1_1 or augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-11.10-mRNA-1_1 or augustus_masked-NODE_12_length_347462_cov_28.1594_ID_23-processed-gene-1.49-mRNA-1_1	-1000	1000			kegg.reaction/R00575;kegg.pathway/rn00240;kegg.pathway/rn00250;kegg.module/M00051;kegg.orthology/K01954;kegg.orthology/K01955;kegg.orthology/K01956;kegg.orthology/K11540;kegg.orthology/K11541;rhea/18636	Pyrimidine metabolism;Alanine, aspartate and glutamate metabolism
R00578	L-aspartate:L-glutamine amido-ligase (AMP-forming)	H2O[s] + ATP[s] + L-Aspartate[s] + L-Glutamine[s] <=> Diphosphate[s] + AMP[s] + L-Glutamate[s] + L-Asparagine[s]	ec-code/6.3.5.4	augustus_masked-NODE_10_length_350817_cov_26.8939_ID_19-processed-gene-2.51-mRNA-1_1	-1000	1000			kegg.reaction/R00578;kegg.pathway/rn00250;kegg.orthology/K01953;rhea/12231	Alanine, aspartate and glutamate metabolism
R00582	O-phospho-L-serine phosphohydrolase	H2O[s] + O-Phospho-L-serine[s] <=> Orthophosphate[s] + L-Serine[s]	ec-code/3.1.3.3	augustus_masked-NODE_7_length_420504_cov_27.1491_ID_13-processed-gene-2.118-mRNA-1_1	-1000	1000			kegg.reaction/R00582;kegg.pathway/rn00260;kegg.pathway/rn00680;kegg.module/M00020;kegg.orthology/K01079;rhea/21211	Glycine, serine and threonine metabolism;Methane metabolism
R00585	L-Serine:pyruvate aminotransferase	Pyruvate[s] + L-Serine[s] <=> L-Alanine[s] + Hydroxypyruvate[s]	ec-code/2.6.1.51	augustus_masked-NODE_1_length_1866239_cov_27.8708_ID_1-processed-gene-3.121-mRNA-1_1	-1000	1000			kegg.reaction/R00585;kegg.pathway/rn00260;kegg.orthology/K00830;rhea/22855	Glycine, serine and threonine metabolism
