"rxn"	"query"	"formula"	"description"	"ko"	"pathway"	"pathway_name0"
"rn:R02239"	"YDR284C;YDR503C;YMR165C"	" Phosphatidate + H2O <=> 1,2-Diacyl-sn-glycerol + Orthophosphate"	"1,2-diacyl-sn-glycerol 3-phosphate phosphohydrolase"	"K18693"	"path:map00561;path:map00564;path:map01110"	"sce00561  Glycerolipid metabolism;sce00564  Glycerophospholipid metabolism;sce01110  Biosynthesis of secondary metabolites"
"rn:R01185"	"YDR287W;YHR046C"	" Inositol 1-phosphate + H2O <=> myo-Inositol + Orthophosphate"	"1D-myo-inositol 1-phosphate phosphohydrolase"	"K01092"	"path:map00521;path:map00562;path:map01100;path:map04070"	"sce00521  Streptomycin biosynthesis;sce00562  Inositol phosphate metabolism;sce01100  Metabolic pathways;sce04070  Phosphatidylinositol signaling system"
"rn:R01186"	"YDR287W;YHR046C"	" myo-Inositol 4-phosphate + H2O <=> myo-Inositol + Orthophosphate"	"1D-myo-inositol 4-phosphate phosphohydrolase"	"K01092"	"path:map00521;path:map00562;path:map01100;path:map04070"	"sce00521  Streptomycin biosynthesis;sce00562  Inositol phosphate metabolism;sce01100  Metabolic pathways;sce04070  Phosphatidylinositol signaling system"
"rn:R01187"	"YDR287W;YHR046C"	" 1D-myo-Inositol 3-phosphate + H2O <=> myo-Inositol + Orthophosphate"	"1D-myo-inositol 3-phosphate phosphohydrolase"	"K01092"	"path:map00521;path:map00562;path:map01100;path:map04070"	"sce00521  Streptomycin biosynthesis;sce00562  Inositol phosphate metabolism;sce01100  Metabolic pathways;sce04070  Phosphatidylinositol signaling system"
"rn:R02464"	"YDR294C"	" Sphinganine 1-phosphate <=> Ethanolamine phosphate + Hexadecanal"	"Sphinganine-1-phosphate pamlmitaldehyde-lyase"	"K01634"	"path:map00600;path:map01100;path:map04071"	"sce00600  Sphingolipid metabolism;sce01100  Metabolic pathways;sce04071  Sphingolipid signaling pathway"
"rn:R06516"	"YDR294C"	" Sphingosine 1-phosphate <=> Ethanolamine phosphate + Hexadecenal"	"sphingosine-1-phosphate palmitaldehyde-lyase (phosphoethanolamine-forming)"	"K01634"	"path:map00600;path:map01100;path:map04071"	"sce00600  Sphingolipid metabolism;sce01100  Metabolic pathways;sce04071  Sphingolipid signaling pathway"
"rn:R06525"	"YDR297W"	" Sphinganine + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> Phytosphingosine + 2 Ferricytochrome b5 + H2O"	"sphinganine,ferrocytochrome b5:oxygen oxidoreductase (C4-hydroxylating)"	"K04713"	"path:map00600;path:map01100"	"sce00600  Sphingolipid metabolism;sce01100  Metabolic pathways"
"rn:R06526"	"YDR297W"	" Dihydroceramide + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> Phytoceramide + 2 Ferricytochrome b5 + H2O"	"dihydroceramide,ferrocytochrome b5:oxygen oxidoreductase (C4-hydroxylating)"	"K04713"	"path:map00600;path:map01100"	"sce00600  Sphingolipid metabolism;sce01100  Metabolic pathways"
"rn:R00239"	"YDR300C;YHR033W"	" ATP + L-Glutamate <=> ADP + L-Glutamyl 5-phosphate"	"ATP:L-glutamate 5-phosphotransferase"	"K00931"	"path:map00330;path:map00332;path:map01100;path:map01130;path:map01230"	"sce00330  Arginine and proline metabolism;sce00332  Carbapenem biosynthesis;sce01100  Metabolic pathways;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R05923"	"YDR302W;YLL031C"	"Phosphatidylethanolamine + G00140 <=> 1,2-Diacyl-sn-glycerol + G00141"	"NONE"	"K05287"	"path:map00563;path:map01100"	"sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;sce01100  Metabolic pathways"
"rn:R05924"	"YDR302W;YJL062W"	"Phosphatidylethanolamine + G00141 <=> 1,2-Diacyl-sn-glycerol + G00151"	"NONE"	"K05287"	"path:map00563;path:map01100"	"sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;sce01100  Metabolic pathways"
"rn:R08107"	"YDR302W;YLL031C"	"Phosphatidylethanolamine + G00149 <=> 1,2-Diacyl-sn-glycerol + G13044"	"NONE"	"K05287"	"path:map00563;path:map01100"	"sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;sce01100  Metabolic pathways"
"rn:R00187"	"YDR305C"	" P1,P3-Bis(5'-adenosyl) triphosphate + H2O <=> ADP + AMP"	"P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"	"K01522"	"path:map00230;path:map05222;path:map05223"	"sce00230  Purine metabolism;sce05222  Small cell lung cancer;sce05223  Non-small cell lung cancer"
"rn:R05202"	"YDR315C"	" Phytic acid + ADP <=> 1D-myo-Inositol 1,3,4,5,6-pentakisphosphate + ATP"	"ATP:1D-myo-inositol 1,3,4,5,6-pentakisphosphate 2-phosphotransferase"	"K19786"	"path:map00562;path:map01100;path:map04070"	"sce00562  Inositol phosphate metabolism;sce01100  Metabolic pathways;sce04070  Phosphatidylinositol signaling system"
"rn:R00485"	"YDR321W;YLR155C;YLR157C;YLR158C;YLR160C"	" L-Asparagine + H2O <=> L-Aspartate + Ammonia"	"L-Asparagine amidohydrolase"	"K01424"	"path:map00250;path:map00460;path:map01100;path:map01110"	"sce00250  Alanine, aspartate and glutamate metabolism;sce00460  Cyanoamino acid metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R03646"	"YDR341C;YHR091C"	" ATP + L-Arginine + tRNA(Arg) <=> AMP + Diphosphate + L-Arginyl-tRNA(Arg)"	"L-Arginine:tRNA(Arg) ligase (AMP-forming)"	"K01887"	"path:map00970"	"sce00970  Aminoacyl-tRNA biosynthesis"
"rn:R02016"	"YDR353W;YHR106W"	" Thioredoxin + NADP+ <=> Thioredoxin disulfide + NADPH + H+"	"NADPH:oxidized-thioredoxin oxidoreductase"	"K00384"	"path:map00450"	"sce00450  Selenocompound metabolism"
"rn:R03596"	"YDR353W;YHR106W"	" Hydrogen selenide + 3 NADP+ + 3 H2O <=> Selenite + 3 NADPH + 5 H+"	"hydrogen selenide:NADP+ oxidoreductase"	"K00384"	"path:map00450"	"sce00450  Selenocompound metabolism"
"rn:R09372"	"YDR353W;YHR106W"	" 2 NADPH + 2 H+ + Methylselenic acid <=> 2 NADP+ + 2 H2O + Methaneselenol"	"methaneselenol:NADP+ oxidoreductase"	"K00384"	"path:map00450"	"sce00450  Selenocompound metabolism"
"rn:R01073"	"YDR354W"	" N-(5-Phospho-D-ribosyl)anthranilate + Diphosphate <=> Anthranilate + 5-Phospho-alpha-D-ribose 1-diphosphate"	"N-(5-Phospho-D-ribosyl)anthranilate:pyrophosphate phosphoribosyl-transferase"	"K00766"	"path:map00400;path:map01100;path:map01110;path:map01130;path:map01230"	"sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R01206"	"YDR371W;YLR286C"	" Chitin + H2O <=> N-Acetyl-D-glucosamine + Chitin"	"[1,4-(N-Acetyl-beta-D-glucosaminyl)]n glycanohydrolase"	"K01183"	"path:map00520;path:map01100"	"sce00520  Amino sugar and nucleotide sugar metabolism;sce01100  Metabolic pathways"
"rn:R02334"	"YDR371W;YLR286C"	" Chitin + H2O <=> Chitobiose + Chitin"	"[1,4-(N-Acetyl-beta-D-glucosaminyl)]n glycanohydrolase"	"K01183"	"path:map00520;path:map01100"	"sce00520  Amino sugar and nucleotide sugar metabolism;sce01100  Metabolic pathways"
"rn:R01377"	"YDR380W"	" Phenylpyruvate <=> Phenylacetaldehyde + CO2"	"phenylpyruvate carboxy-lyase (phenylacetaldehyde-forming)"	"K12732"	"path:map00360;path:map01100"	"sce00360  Phenylalanine metabolism;sce01100  Metabolic pathways"
"rn:R01132"	"YDR399W"	" IMP + Diphosphate <=> Hypoxanthine + 5-Phospho-alpha-D-ribose 1-diphosphate"	"IMP:diphosphate phospho-D-ribosyltransferase"	"K19836"	"path:map00230;path:map01100;path:map01110"	"sce00230  Purine metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R01229"	"YDR399W;YDR441C;YML022W"	" GMP + Diphosphate <=> Guanine + 5-Phospho-alpha-D-ribose 1-diphosphate"	"GMP:diphosphate 5-phospho-alpha-D-ribosyltransferase"	"K19836"	"path:map00230;path:map01100;path:map01110"	"sce00230  Purine metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R02142"	"YDR399W"	" Xanthosine 5'-phosphate + Diphosphate <=> Xanthine + 5-Phospho-alpha-D-ribose 1-diphosphate"	"XMP:pyrophosphate phosphoribosyltransferase"	"K19836"	"path:map00230;path:map01100;path:map01110"	"sce00230  Purine metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R01080"	"YDR400W"	" Uridine + H2O <=> Uracil + D-Ribose"	"Uridine ribohydrolase"	"K01240"	"path:map00240;path:map00760"	"sce00240  Pyrimidine metabolism;sce00760  Nicotinate and nicotinamide metabolism"
"rn:R01273"	"YDR400W"	" Nicotinamide-beta-riboside + H2O <=> Nicotinamide + D-Ribose"	"N-ribosylnicotinamide ribohydrolase"	"K01240"	"path:map00240;path:map00760"	"sce00240  Pyrimidine metabolism;sce00760  Nicotinate and nicotinamide metabolism"
"rn:R10046"	"YDR400W"	" Nicotinate D-ribonucleoside + H2O <=> Nicotinate + D-Ribose"	"nicotinate D-ribonucleoside ribohydrolase"	"K01240"	"path:map00240;path:map00760"	"sce00240  Pyrimidine metabolism;sce00760  Nicotinate and nicotinamide metabolism"
"rn:R03629"	"YDR402C"	" Melatonin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 6-Hydroxymelatonin + [Oxidized NADPH---hemoprotein reductase] + H2O"	"substrate,reduced-flaboprotein:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)"	"K00493"	"path:map00071;path:map00380;path:map00627;path:map01120"	"sce00071  Fatty acid degradation;sce00380  Tryptophan metabolism;sce00627  Aminobenzoate degradation;sce01120  Microbial metabolism in diverse environments"
"rn:R04121"	"YDR402C"	" [Reduced NADPH---hemoprotein reductase] + Fatty acid + Oxygen <=> alpha-Hydroxy fatty acid + [Oxidized NADPH---hemoprotein reductase] + H2O"	"Fatty acid,reduced-flaboprotein:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)"	"K00493"	"path:map00071;path:map00380;path:map00627;path:map01120"	"sce00071  Fatty acid degradation;sce00380  Tryptophan metabolism;sce00627  Aminobenzoate degradation;sce01120  Microbial metabolism in diverse environments"
"rn:R05259"	"YDR402C"	" Parathion + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Paraoxon + [Oxidized NADPH---hemoprotein reductase] + Sulfur + H2O"	"parathion,NADPH---hemoprotein reductase:oxygen oxidoreductase (paraoxon-forming)"	"K00493"	"path:map00071;path:map00380;path:map00627;path:map01120"	"sce00071  Fatty acid degradation;sce00380  Tryptophan metabolism;sce00627  Aminobenzoate degradation;sce01120  Microbial metabolism in diverse environments"
"rn:R04325"	"YDR408C"	" 10-Formyltetrahydrofolate + 5'-Phosphoribosylglycinamide <=> Tetrahydrofolate + 5'-Phosphoribosyl-N-formylglycinamide"	"10-Formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase"	"K00601"	"path:map00230;path:map00670;path:map01100;path:map01110;path:map01130"	"sce00230  Purine metabolism;sce00670  One carbon pool by folate;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics"
"rn:R04326"	"YDR408C"	"5'-Phosphoribosylglycinamide + 5,10-Methenyltetrahydrofolate + H2O <=> 5'-Phosphoribosyl-N-formylglycinamide + Tetrahydrofolate"	"NONE"	"K00601"	"path:map00230;path:map00670;path:map01100;path:map01110;path:map01130"	"sce00230  Purine metabolism;sce00670  One carbon pool by folate;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics"
"rn:R04496"	"YDR410C"	" S-Adenosyl-L-methionine + Protein C-terminal S-farnesyl-L-cysteine <=> S-Adenosyl-L-homocysteine + Protein C-terminal S-farnesyl-L-cysteine methyl ester"	"S-Adenosyl-L-methionine:protein-C-terminal-S-farnesyl-L-cysteine O-methyltransferase"	"K00587"	"path:map00900;path:map01130"	"sce00900  Terpenoid backbone biosynthesis;sce01130  Biosynthesis of antibiotics"
"rn:R00988"	"YDR428C"	" Formylanthranilate + H2O <=> Formate + Anthranilate"	"N-Formylanthranilate amidohydrolase"	"K14263"	"path:map00380;path:map00630;path:map01100"	"sce00380  Tryptophan metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce01100  Metabolic pathways"
"rn:R01959"	"YDR428C"	" L-Formylkynurenine + H2O <=> Formate + L-Kynurenine"	"N-Formyl-L-kynurenine amidohydrolase"	"K14263"	"path:map00380;path:map00630;path:map01100"	"sce00380  Tryptophan metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce01100  Metabolic pathways"
"rn:R04911"	"YDR428C"	" 5-Hydroxy-N-formylkynurenine + H2O <=> 5-Hydroxykynurenine + Formate"	"Aryl-formylamine amidohydrolase"	"K14263"	"path:map00380;path:map00630;path:map01100"	"sce00380  Tryptophan metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce01100  Metabolic pathways"
"rn:R05916"	"YDR437W;YGR216C;YNL038W;YPL076W;YPL096C-A;YPL175W"	"UDP-N-acetyl-D-glucosamine + 1-Phosphatidyl-D-myo-inositol <=> UDP + G00143"	"NONE"	"K03861"	"path:map00563;path:map01100"	"sce00563  Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;sce01100  Metabolic pathways"
"rn:R03875"	"YDR440W;YHR109W;YHR119W;YJL168C"	"Protein lysine + S-Adenosyl-L-methionine <=> Protein N6-methyl-L-lysine + S-Adenosyl-L-homocysteine"	"NONE"	"K11427"	"path:map00310;path:map05202"	"sce00310  Lysine degradation;sce05202  Transcriptional misregulation in cancer"
"rn:R03938"	"YDR440W;YHR119W;YJL168C"	" S-Adenosyl-L-methionine + Histone-L-lysine <=> S-Adenosyl-L-homocysteine + Histone N6-methyl-L-lysine"	"S-Adenosyl-L-methionine:histone-L-lysine N6-methyltransferase"	"K11427"	"path:map00310;path:map05202"	"sce00310  Lysine degradation;sce05202  Transcriptional misregulation in cancer"
"rn:R04866"	"YDR440W;YHR109W;YHR119W;YJL168C"	" S-Adenosyl-L-methionine + Protein N6-methyl-L-lysine <=> S-Adenosyl-L-homocysteine + Protein N6,N6-dimethyl-L-lysine"	"S-adenosyl-L-methionine:cytochrome-c-L-lysine N6-methyltransferase"	"K11427"	"path:map00310;path:map05202"	"sce00310  Lysine degradation;sce05202  Transcriptional misregulation in cancer"
"rn:R04867"	"YDR440W;YHR109W;YHR119W;YJL168C"	" S-Adenosyl-L-methionine + Protein N6,N6-dimethyl-L-lysine <=> S-Adenosyl-L-homocysteine + Protein N6,N6,N6-trimethyl-L-lysine"	"S-adenosyl-L-methionine:cytochrome-c-L-lysine N6-methyltransferase"	"K11427"	"path:map00310;path:map05202"	"sce00310  Lysine degradation;sce05202  Transcriptional misregulation in cancer"
"rn:R00190"	"YDR441C;YML022W"	" AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate"	"AMP:diphosphate phospho-D-ribosyltransferase"	"K00759"	"path:map00230;path:map01100"	"sce00230  Purine metabolism;sce01100  Metabolic pathways"
"rn:R04378"	"YDR441C;YML022W"	" 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + Diphosphate <=> 5-Amino-4-imidazolecarboxyamide + 5-Phospho-alpha-D-ribose 1-diphosphate"	"1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase"	"K00759"	"path:map00230;path:map01100"	"sce00230  Purine metabolism;sce01100  Metabolic pathways"
"rn:R00332"	"YDR454C"	" ATP + GMP <=> ADP + GDP"	"ATP:GMP phosphotransferase"	"K00942"	"path:map00230;path:map01100"	"sce00230  Purine metabolism;sce01100  Metabolic pathways"
"rn:R02090"	"YDR454C"	" ATP + dGMP <=> ADP + dGDP"	"ATP:dGMP phosphotransferase"	"K00942"	"path:map00230;path:map01100"	"sce00230  Purine metabolism;sce01100  Metabolic pathways"
"rn:R11221"	"YDR465C"	" S-Adenosyl-L-methionine + Protein-L-arginine <=> S-Adenosyl-L-homocysteine + Protein N5-methyl-L-arginine"	"S-adenosyl-L-methionine:[protein]-L-arginine N-methyltransferase ([protein]-N5-methyl-L-arginine-forming)"	"K18477"	NA	"NA  NA"
"rn:R04620"	"YDR481C"	" 7,8-Dihydroneopterin 3'-triphosphate + 3 H2O <=> 7,8-Dihydroneopterin + 3 Orthophosphate"	"7,8-dihydroneopterin-3'-triphosphate phosphohydrolase (alkaline optimum)"	"K01077"	"path:map00730;path:map00790;path:map01100;path:map02020"	"sce00730  Thiamine metabolism;sce00790  Folate biosynthesis;sce01100  Metabolic pathways;sce02020  Two-component system"
"rn:R07281"	"YDR487C"	" D-Ribulose 5-phosphate <=> L-3,4-Dihydroxybutan-2-one 4-phosphate + Formate"	"D-ribulose 5-phosphate formate-lyase (L-3,4-dihydroxybutan-2-one 4-phosphate-forming)"	"K02858"	"path:map00740;path:map01100;path:map01110"	"sce00740  Riboflavin metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R00177"	"YDR502C;YLR180W"	" Orthophosphate + Diphosphate + S-Adenosyl-L-methionine <=> ATP + L-Methionine + H2O"	"ATP:L-methionine S-adenosyltransferase"	"K00789"	"path:map00270;path:map01100;path:map01110;path:map01230"	"sce00270  Cysteine and methionine metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01230  Biosynthesis of amino acids"
"rn:R04771"	"YDR502C;YLR180W"	" ATP + L-Selenomethionine + H2O <=> Orthophosphate + Diphosphate + Se-Adenosylselenomethionine"	"ATP:L-selenomethione S-adenosyltransferase"	"K00789"	"path:map00270;path:map01100;path:map01110;path:map01230"	"sce00270  Cysteine and methionine metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01230  Biosynthesis of amino acids"
"rn:R02971"	"YDR531W"	" ATP + Pantetheine <=> ADP + Pantetheine 4'-phosphate"	"ATP:pantothenate 4'-phosphotransferase"	"K09680"	"path:map00770;path:map01100"	"sce00770  Pantothenate and CoA biosynthesis;sce01100  Metabolic pathways"
"rn:R03018"	"YDR531W"	" ATP + Pantothenate <=> ADP + D-4'-Phosphopantothenate"	"ATP:pantothenate 4'-phosphotransferase"	"K09680"	"path:map00770;path:map01100"	"sce00770  Pantothenate and CoA biosynthesis;sce01100  Metabolic pathways"
"rn:R04391"	"YDR531W"	" ATP + N-((R)-Pantothenoyl)-L-cysteine <=> ADP + (R)-4'-Phosphopantothenoyl-L-cysteine"	"ATP:pantothenate 4'-phosphotransferase"	"K09680"	"path:map00770;path:map01100"	"sce00770  Pantothenate and CoA biosynthesis;sce01100  Metabolic pathways"
"rn:R09796"	"YDR533C;YMR322C;YOR391C;YPL280W"	" (R)-Lactate <=> Methylglyoxal + H2O"	"(R)-lactate hydro-lyase"	"K22211"	"path:map00620;path:map01120"	"sce00620  Pyruvate metabolism;sce01120  Microbial metabolism in diverse environments"
"rn:R01238"	"YDR538W"	" 4-Hydroxybenzoate <=> Phenol + CO2"	"4-hydroxybenzoate carboxy-lyase (phenol-forming)"	"K03186"	"path:map00130;path:map00627;path:map00940;path:map01100;path:map01110;path:map01120;path:map01220"	"sce00130  Ubiquinone and other terpenoid-quinone biosynthesis;sce00627  Aminobenzoate degradation;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01220  Degradation of aromatic compounds"
"rn:R02952"	"YDR538W;YDR539W"	" 4-Coumarate <=> 4-Hydroxystyrene + CO2"	"phenylacrylic acid decarboxylase"	"K03186"	"path:map00130;path:map00627;path:map00940;path:map01100;path:map01110;path:map01120;path:map01220"	"sce00130  Ubiquinone and other terpenoid-quinone biosynthesis;sce00627  Aminobenzoate degradation;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01220  Degradation of aromatic compounds"
"rn:R03367"	"YDR538W;YDR539W"	"Caffeate <=> 3,4-Dihydroxystyrene + CO2"	"NONE"	"K03186"	"path:map00130;path:map00627;path:map00940;path:map01100;path:map01110;path:map01120;path:map01220"	"sce00130  Ubiquinone and other terpenoid-quinone biosynthesis;sce00627  Aminobenzoate degradation;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01220  Degradation of aromatic compounds"
"rn:R04985"	"YDR538W"	" 2-Polyprenylphenol + CO2 <=> 4-Hydroxy-3-polyprenylbenzoate"	"4-hydroxy-3-polyprenylbenzoate carboxy-lyase"	"K03186"	"path:map00130;path:map00627;path:map00940;path:map01100;path:map01110;path:map01120;path:map01220"	"sce00130  Ubiquinone and other terpenoid-quinone biosynthesis;sce00627  Aminobenzoate degradation;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01220  Degradation of aromatic compounds"
"rn:R04986"	"YDR538W"	" 3-Octaprenyl-4-hydroxybenzoate <=> 2-Octaprenylphenol + CO2"	"3-octaprenyl-4-hydroxybenzoate carboxy-lyase"	"K03186"	"path:map00130;path:map00627;path:map00940;path:map01100;path:map01110;path:map01120;path:map01220"	"sce00130  Ubiquinone and other terpenoid-quinone biosynthesis;sce00627  Aminobenzoate degradation;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01220  Degradation of aromatic compounds"
"rn:R11225"	"YDR538W"	" Dimethylallyl phosphate + Reduced FMN <=> Prenylated FMNH2 + Orthophosphate"	"dimethylallyl-phosphate:FMNH2 prenyltransferase"	"K03186"	"path:map00130;path:map00627;path:map00940;path:map01100;path:map01110;path:map01120;path:map01220"	"sce00130  Ubiquinone and other terpenoid-quinone biosynthesis;sce00627  Aminobenzoate degradation;sce00940  Phenylpropanoid biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01220  Degradation of aromatic compounds"
"rn:R02110"	"YEL011W"	" Amylose <=> Starch"	"1,4-alpha-D-Glucan:1,4-alpha-D-glucan 6-alpha-D-(1,4-alpha-D-glucano)-transferase"	"K00700"	"path:map00500;path:map01100;path:map01110"	"sce00500  Starch and sucrose metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites"
"rn:R00965"	"YEL021W"	" Orotidine 5'-phosphate <=> UMP + CO2"	"orotidine-5'-phosphate carboxy-lyase (UMP-forming)"	"K01591"	"path:map00240;path:map01100"	"sce00240  Pyrimidine metabolism;sce01100  Metabolic pathways"
"rn:R00174"	"YEL029C;YNR027W"	" ATP + Pyridoxal <=> ADP + Pyridoxal phosphate"	"ATP:pyridoxal 5'-phosphotransferase"	"K00868"	"path:map00750;path:map01100"	"sce00750  Vitamin B6 metabolism;sce01100  Metabolic pathways"
"rn:R01909"	"YEL029C;YNR027W"	" ATP + Pyridoxine <=> ADP + Pyridoxine phosphate"	"ATP:pyridoxine 5'-phosphotransferase"	"K00868"	"path:map00750;path:map01100"	"sce00750  Vitamin B6 metabolism;sce01100  Metabolic pathways"
"rn:R02493"	"YEL029C;YNR027W"	" ATP + Pyridoxamine <=> ADP + Pyridoxamine phosphate"	"ATP:pyridoxal 5'-phosphotransferase"	"K00868"	"path:map00750;path:map01100"	"sce00750  Vitamin B6 metabolism;sce01100  Metabolic pathways"
"rn:R07395"	"YEL038W"	" 2,3-Diketo-5-methylthiopentyl-1-phosphate + H2O <=> 1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one + Orthophosphate"	"5-(methylthio)-2,3-dioxopentyl-phosphate phosphohydrolase (isomerizing)"	"K09880"	"path:map00270;path:map01100"	"sce00270  Cysteine and methionine metabolism;sce01100  Metabolic pathways"
"rn:R10151"	"YEL039C;YJR048W"	"Thiosulfate + 5 H2O + 8 Ferricytochrome c <=> 2 Sulfate + 8 Ferrocytochrome c + 10 H+"	"NONE"	"K08738"	"path:map01524;path:map02020;path:map04115;path:map04210;path:map04214;path:map04215;path:map04932;path:map05010;path:map05012;path:map05014;path:map05016;path:map05134;path:map05145;path:map05152;path:map05161;path:map05163;path:map05164;path:map05167;path:map05168;path:map05200;path:map05210;path:map05222;path:map05416"	"sce01524  Platinum drug resistance;sce02020  Two-component system;sce04115  p53 signaling pathway;sce04210  Apoptosis;sce04214  Apoptosis - fly;sce04215  Apoptosis - multiple species;sce04932  Non-alcoholic fatty liver disease (NAFLD);sce05010  Alzheimer's disease;sce05012  Parkinson's disease;sce05014  Amyotrophic lateral sclerosis (ALS);sce05016  Huntington's disease;sce05134  Legionellosis;sce05145  Toxoplasmosis;sce05152  Tuberculosis;sce05161  Hepatitis B;sce05163  NA;sce05164  Influenza A;sce05167  Kaposi's sarcoma-associated herpesvirus infection;sce05168  Herpes simplex infection;sce05200  Pathways in cancer;sce05210  Colorectal cancer;sce05222  Small cell lung cancer;sce05416  Viral myocarditis"
"rn:R00751"	"YEL046C"	" L-Threonine <=> Glycine + Acetaldehyde"	"L-threonine acetaldehyde-lyase (glycine-forming)"	"K01620"	"path:map00260;path:map01100;path:map01110;path:map01120;path:map01130;path:map01230"	"sce00260  Glycine, serine and threonine metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R06171"	"YEL046C"	" L-Allothreonine <=> Glycine + Acetaldehyde"	"L-allo-threonine acetaldehyde-lyase (glycine-forming)"	"K01620"	"path:map00260;path:map01100;path:map01110;path:map01120;path:map01130;path:map01230"	"sce00260  Glycine, serine and threonine metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R08193"	"YEL058W"	" N-Acetyl-D-glucosamine 6-phosphate <=> N-Acetyl-alpha-D-glucosamine 1-phosphate"	"N-Acetyl-D-glucosamine 1-phosphate 1,6-phosphomutase"	"K01836"	"path:map00520;path:map01100;path:map01130"	"sce00520  Amino sugar and nucleotide sugar metabolism;sce01100  Metabolic pathways;sce01130  Biosynthesis of antibiotics"
"rn:R03903"	"YEL066W;YPR193C"	" Acetyl-CoA + D-Phenylalanine <=> CoA + N-Acetyl-D-phenylalanine"	"acetyl-CoA:D-amino-acid N-acetyltransferase"	"K18852"	"path:map00360"	"sce00360  Phenylalanine metabolism"
"rn:R00868"	"YEL070W;YNR073C"	" Mannitol + NAD+ <=> D-Fructose + NADH + H+"	"D-Mannitol:NAD+ 2-oxidoreductase"	"K00045"	"path:map00051"	"sce00051  Fructose and mannose metabolism"
"rn:R09302"	"YER001W;YGL257C;YIL014W"	"GDP-D-mannose + G10842 <=> GDP + G10843"	"NONE"	"K05538"	"path:map00513;path:map00514;path:map01100"	"sce00513  Various types of N-glycan biosynthesis;sce00514  Other types of O-glycan biosynthesis;sce01100  Metabolic pathways"
