mRNA	KO
genemark-HG793130-processed-gene-8.170-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.170&CDS=1-1089	lad_MNXR117337_kuraishia_capsulata
genemark-HG793131-processed-gene-10.81-mRNA-1_1&gene=genemark-HG793131-processed-gene-10.81&CDS=1-1404	K01784_R00291_kuraishia_capsulata
genemark-HG793125-processed-gene-6.48-mRNA-1_1&gene=genemark-HG793125-processed-gene-6.48&CDS=1-1989	K17066_R00608_kuraishia_capsulata
genemark-HG793128-processed-gene-0.79-mRNA-1_1&gene=genemark-HG793128-processed-gene-0.79&CDS=1-1524	K03781_R00009_kuraishia_capsulata
genemark-HG793128-processed-gene-2.138-mRNA-1_1&gene=genemark-HG793128-processed-gene-2.138&CDS=1-2115	dha1_R01440_kuraishia_capsulata
genemark-HG793131-processed-gene-6.65-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.65&CDS=1-1137	K00121_R06983_kuraishia_capsulata
genemark-HG793131-processed-gene-10.125-mRNA-1_1&gene=genemark-HG793131-processed-gene-10.125&CDS=1-891	K01070_R00527_kuraishia_capsulata
genemark-HG793125-processed-gene-21.56-mRNA-1_1&gene=genemark-HG793125-processed-gene-21.56&CDS=1-1089	K00122_R00519_kuraishia_capsulata
genemark-HG793128-processed-gene-9.25-mRNA-1_1&gene=genemark-HG793128-processed-gene-9.25&CDS=1-1245	K12661_R03774_kuraishia_capsulata
maker-HG793130-snap-gene-7.100-mRNA-1_1&gene=maker-HG793130-snap-gene-7.100&CDS=1-1659	YALI0F01650p_MNXR121148_kuraishia_capsulata
genemark-HG793131-processed-gene-0.36-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.36&CDS=1-1833	YALI0F01606g_R11461_kuraishia_capsulata
genemark-HG793131-processed-gene-6.79-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.79&CDS=1-477	K21911_R11333_kuraishia_capsulata
genemark-HG793125-processed-gene-12.68-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.68&CDS=1-1521	K02575_MNXR101912_kuraishia_capsulata
maker-HG793125-augustus-gene-12.159-mRNA-1_1&gene=maker-HG793125-augustus-gene-12.159&CDS=1-4950	K10534_R00794_kuraishia_capsulata
genemark-HG793125-processed-gene-12.69-mRNA-1_1&gene=genemark-HG793125-processed-gene-12.69&CDS=1-3291	K17877_R00787_kuraishia_capsulata
genemark-NW_011887526.1-processed-gene-0.23-mRNA-1_1&gene=genemark-NW_011887526.1-processed-gene-0.23&CDS=1-1086	lad_MNXR117337_wickerhamomyces_ciferrii
augustus_masked-NW_011887592.1-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-NW_011887592.1-processed-gene-0.121&CDS=1-1125	K00849_R01092_wickerhamomyces_ciferrii
augustus_masked-NW_011887594.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NW_011887594.1-processed-gene-0.9&CDS=1-858	K00965_R00955_wickerhamomyces_ciferrii
genemark-NW_011887593.1-processed-gene-0.6-mRNA-1_1&gene=genemark-NW_011887593.1-processed-gene-0.6&CDS=1-2022	K01784_R00291_wickerhamomyces_ciferrii
genemark-NW_011887588.1-processed-gene-0.99-mRNA-1_1&gene=genemark-NW_011887588.1-processed-gene-0.99&CDS=1-1557	K03781_R00009_wickerhamomyces_ciferrii
snap_masked-NW_011887723.1-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NW_011887723.1-processed-gene-0.78&CDS=1-1143	K00121_R06983_wickerhamomyces_ciferrii
genemark-NW_011887620.1-processed-gene-0.71-mRNA-1_1&gene=genemark-NW_011887620.1-processed-gene-0.71&CDS=1-873	K01070_R00527_wickerhamomyces_ciferrii
genemark-NW_011887680.1-processed-gene-0.46-mRNA-1_1&gene=genemark-NW_011887680.1-processed-gene-0.46&CDS=1-1086	K00122_R00519_wickerhamomyces_ciferrii
snap_masked-NW_011887542.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NW_011887542.1-processed-gene-0.22&CDS=1-1023	K18338_R03772_wickerhamomyces_ciferrii
genemark-NW_011887542.1-processed-gene-0.73-mRNA-1_1&gene=genemark-NW_011887542.1-processed-gene-0.73&CDS=1-1239	K12661_R03774_wickerhamomyces_ciferrii
maker-NW_011887665.1-snap-gene-0.89-mRNA-1_1&gene=maker-NW_011887665.1-snap-gene-0.89&CDS=1-3285	inu_MNXR115392_wickerhamomyces_ciferrii
genemark-NW_011887738.1-processed-gene-0.62-mRNA-1_1&gene=genemark-NW_011887738.1-processed-gene-0.62&CDS=1-1731	YALI0F01606g_R11461_wickerhamomyces_ciferrii
augustus_masked-NW_011887526.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NW_011887526.1-processed-gene-0.8&CDS=1-486	K21911_R11333_wickerhamomyces_ciferrii
genemark-NW_011887686.1-processed-gene-0.156-mRNA-1_1&gene=genemark-NW_011887686.1-processed-gene-0.156&CDS=1-1596	K02575_MNXR101912_wickerhamomyces_ciferrii
genemark-NW_011887686.1-processed-gene-0.191-mRNA-1_1&gene=genemark-NW_011887686.1-processed-gene-0.191&CDS=1-2652	K10534_R00794_wickerhamomyces_ciferrii
genemark-NW_011887686.1-processed-gene-0.190-mRNA-1_1&gene=genemark-NW_011887686.1-processed-gene-0.190&CDS=1-3276	K17877_R00787_wickerhamomyces_ciferrii
snap_masked-kam_s120-processed-gene-0.20-mRNA-1_1&gene=snap_masked-kam_s120-processed-gene-0.20&CDS=1-1533	K00849_R01092_metschnikowia_kamakouana
snap_masked-kam_s120-processed-gene-0.39-mRNA-1_1&gene=snap_masked-kam_s120-processed-gene-0.39&CDS=1-1134	K00965_R00955_metschnikowia_kamakouana
snap_masked-kam_s120-processed-gene-0.40-mRNA-1_1&gene=snap_masked-kam_s120-processed-gene-0.40&CDS=1-2085	K01784_R00291_metschnikowia_kamakouana
snap_masked-kam_s108-processed-gene-5.133-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.133&CDS=1-1452	K03781_R00009_metschnikowia_kamakouana
genemark-kam_s6-processed-gene-3.38-mRNA-1_1&gene=genemark-kam_s6-processed-gene-3.38&CDS=1-1134	K00121_R06983_metschnikowia_kamakouana
snap_masked-kam_s195-processed-gene-0.25-mRNA-1_1&gene=snap_masked-kam_s195-processed-gene-0.25&CDS=1-864	K01070_R00527_metschnikowia_kamakouana
snap_masked-kam_s108-processed-gene-4.35-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-4.35&CDS=1-1128	K00122_R00519_metschnikowia_kamakouana
snap_masked-kam_s16-processed-gene-12.73-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-12.73&CDS=1-831	YALI0F01650p_MNXR121148_metschnikowia_kamakouana
snap_masked-kam_s16-processed-gene-13.139-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-13.139&CDS=1-1767	YALI0F01606g_R11461_metschnikowia_kamakouana
snap_masked-mat-_s12-processed-gene-0.38-mRNA-1_1&gene=snap_masked-mat-_s12-processed-gene-0.38&CDS=1-1533	K00849_R01092_metschnikowia_matae
snap_masked-mat-_s12-processed-gene-0.50-mRNA-1_1&gene=snap_masked-mat-_s12-processed-gene-0.50&CDS=1-1137	K00965_R00955_metschnikowia_matae
augustus_masked-mat-_s12-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-mat-_s12-processed-gene-0.73&CDS=1-2097	K01784_R00291_metschnikowia_matae
snap_masked-mat-_s253-processed-gene-1.125-mRNA-1_1&gene=snap_masked-mat-_s253-processed-gene-1.125&CDS=1-1455	K03781_R00009_metschnikowia_matae
snap_masked-mat-_s474-processed-gene-0.19-mRNA-1_1&gene=snap_masked-mat-_s474-processed-gene-0.19&CDS=1-195	K03781_R00009_metschnikowia_matae
snap_masked-mat-_s641-processed-gene-0.236-mRNA-1_1&gene=snap_masked-mat-_s641-processed-gene-0.236&CDS=1-1134	K00121_R06983_metschnikowia_matae
augustus_masked-mat-_s179-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mat-_s179-processed-gene-0.6&CDS=1-870	K01070_R00527_metschnikowia_matae
augustus_masked-mat-_s253-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-mat-_s253-processed-gene-2.16&CDS=1-1128	K00122_R00519_metschnikowia_matae
maker-mat-_s472-augustus-gene-2.111-mRNA-1_1&gene=maker-mat-_s472-augustus-gene-2.111&CDS=1-1611	YALI0F01650p_MNXR121148_metschnikowia_matae
snap_masked-mat-_s472-processed-gene-3.145-mRNA-1_1&gene=snap_masked-mat-_s472-processed-gene-3.145&CDS=1-1767	YALI0F01606g_R11461_metschnikowia_matae
augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-7.129-mRNA-1_1&gene=augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-7.129&CDS=1-2787	K00849_R01092_yHMPu5000041693_debaryomyces_nepalensis
augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-7.95&CDS=1-1107	K00965_R00955_yHMPu5000041693_debaryomyces_nepalensis
augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-NODE_5_length_855293_cov_13.274_ID_3467-processed-gene-7.93&CDS=1-2052	K01784_R00291_yHMPu5000041693_debaryomyces_nepalensis
augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-0.55&CDS=1-1059	lad_MNXR117337_yHMPu5000041693_debaryomyces_nepalensis
augustus_masked-NODE_3_length_1003114_cov_11.7128_ID_1650-processed-gene-4.137-mRNA-1_1&gene=augustus_masked-NODE_3_length_1003114_cov_11.7128_ID_1650-processed-gene-4.137&CDS=1-1455	K03781_R00009_yHMPu5000041693_debaryomyces_nepalensis
maker-NODE_1_length_1979145_cov_16.84_ID_2150-augustus-gene-4.99-mRNA-1_1&gene=maker-NODE_1_length_1979145_cov_16.84_ID_2150-augustus-gene-4.99&CDS=1-1140	K00121_R06983_yHMPu5000041693_debaryomyces_nepalensis
augustus_masked-NODE_12_length_401645_cov_13.8051_ID_2448-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NODE_12_length_401645_cov_13.8051_ID_2448-processed-gene-1.76&CDS=1-879	K01070_R00527_yHMPu5000041693_debaryomyces_nepalensis
snap_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-15.154-mRNA-1_1&gene=snap_masked-NODE_1_length_1979145_cov_16.84_ID_2150-processed-gene-15.154&CDS=1-1128	K00122_R00519_yHMPu5000041693_debaryomyces_nepalensis
augustus_masked-NODE_17_length_143923_cov_18.8303_ID_3205-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_17_length_143923_cov_18.8303_ID_3205-processed-gene-0.18&CDS=1-1020	K18338_R03772_yHMPu5000041693_debaryomyces_nepalensis
augustus_masked-NODE_17_length_143923_cov_18.8303_ID_3205-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_17_length_143923_cov_18.8303_ID_3205-processed-gene-0.50&CDS=1-1302	K12661_R03774_yHMPu5000041693_debaryomyces_nepalensis
augustus_masked-NODE_4_length_882405_cov_13.2916_ID_4850-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_4_length_882405_cov_13.2916_ID_4850-processed-gene-0.13&CDS=1-1608	inu_MNXR115392_yHMPu5000041693_debaryomyces_nepalensis
augustus_masked-NODE_13_length_346614_cov_12.9166_ID_3081-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-NODE_13_length_346614_cov_12.9166_ID_3081-processed-gene-1.49&CDS=1-2691	YALI0F01650p_MNXR121148_yHMPu5000041693_debaryomyces_nepalensis
augustus_masked-NODE_8_length_604693_cov_13.7067_ID_1552-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NODE_8_length_604693_cov_13.7067_ID_1552-processed-gene-1.84&CDS=1-1815	YALI0F01606g_R11461_yHMPu5000041693_debaryomyces_nepalensis
augustus_masked-NODE_14_length_288750_cov_16.578_ID_2395-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-NODE_14_length_288750_cov_16.578_ID_2395-processed-gene-1.185&CDS=1-462	K21911_R11333_yHMPu5000041693_debaryomyces_nepalensis
augustus_masked-NODE_19_length_53035_cov_22.1813_ID_3340-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_19_length_53035_cov_22.1813_ID_3340-processed-gene-0.43&CDS=1-3282	K17877_R00787_yHMPu5000041693_debaryomyces_nepalensis
augustus_masked-flattened_line_11-processed-gene-3.172-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-3.172&CDS=1-1152	lad_MNXR117337_yHMPu5000034594_starmera_quercuum
snap_masked-flattened_line_45-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-0.104&CDS=1-1113	K01784_R00291_yHMPu5000034594_starmera_quercuum
snap_masked-flattened_line_8-processed-gene-2.130-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.130&CDS=1-1548	K03781_R00009_yHMPu5000034594_starmera_quercuum
genemark-flattened_line_0-processed-gene-5.45-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.45&CDS=1-1143	K00121_R06983_yHMPu5000034594_starmera_quercuum
snap_masked-flattened_line_85-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.30&CDS=1-873	K01070_R00527_yHMPu5000034594_starmera_quercuum
snap_masked-flattened_line_17-processed-gene-1.242-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.242&CDS=1-1092	K00122_R00519_yHMPu5000034594_starmera_quercuum
genemark-flattened_line_95-processed-gene-0.91-mRNA-1_1&gene=genemark-flattened_line_95-processed-gene-0.91&CDS=1-879	YALI0F01650p_MNXR121148_yHMPu5000034594_starmera_quercuum
snap_masked-flattened_line_97-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_97-processed-gene-0.47&CDS=1-1731	YALI0F01606g_R11461_yHMPu5000034594_starmera_quercuum
snap_masked-NODE_1_length_561584_cov_70.4453_ID_1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_1_length_561584_cov_70.4453_ID_1-processed-gene-0.47&CDS=1-1065	lad_MNXR117337_yHMPu5000035041_ambrosiozyma_pseudovanderkliftii
snap_masked-NODE_29_length_196675_cov_127.778_ID_57-processed-gene-0.230-mRNA-1_1&gene=snap_masked-NODE_29_length_196675_cov_127.778_ID_57-processed-gene-0.230&CDS=1-1530	K03781_R00009_yHMPu5000035041_ambrosiozyma_pseudovanderkliftii
snap_masked-NODE_39_length_140568_cov_64.5544_ID_77-processed-gene-0.116-mRNA-1_1&gene=snap_masked-NODE_39_length_140568_cov_64.5544_ID_77-processed-gene-0.116&CDS=1-1140	K00121_R06983_yHMPu5000035041_ambrosiozyma_pseudovanderkliftii
snap_masked-NODE_52_length_99369_cov_62.764_ID_103-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_52_length_99369_cov_62.764_ID_103-processed-gene-0.52&CDS=1-879	K01070_R00527_yHMPu5000035041_ambrosiozyma_pseudovanderkliftii
snap_masked-NODE_16_length_281881_cov_89.1521_ID_31-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_16_length_281881_cov_89.1521_ID_31-processed-gene-0.64&CDS=1-1098	K00122_R00519_yHMPu5000035041_ambrosiozyma_pseudovanderkliftii
snap_masked-NODE_42_length_126228_cov_67.3742_ID_83-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_42_length_126228_cov_67.3742_ID_83-processed-gene-0.85&CDS=1-867	YALI0F01650p_MNXR121148_yHMPu5000035041_ambrosiozyma_pseudovanderkliftii
snap_masked-NODE_7_length_406357_cov_76.1722_ID_13-processed-gene-1.135-mRNA-1_1&gene=snap_masked-NODE_7_length_406357_cov_76.1722_ID_13-processed-gene-1.135&CDS=1-1821	YALI0F01606g_R11461_yHMPu5000035041_ambrosiozyma_pseudovanderkliftii
augustus_masked-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-0.16&CDS=1-1545	K02575_MNXR101912_yHMPu5000035041_ambrosiozyma_pseudovanderkliftii
genemark-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-0.115-mRNA-1_1&gene=genemark-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-0.115&CDS=1-2646	K10534_R00794_yHMPu5000035041_ambrosiozyma_pseudovanderkliftii
snap_masked-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-1.0-mRNA-1_1&gene=snap_masked-NODE_4_length_502110_cov_83.9821_ID_7-processed-gene-1.0&CDS=1-3207	K17877_R00787_yHMPu5000035041_ambrosiozyma_pseudovanderkliftii
genemark-scaffold_1-processed-gene-13.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.41&CDS=1-1545	K00849_R01092_metschnikowia_bicuspidata
snap_masked-scaffold_1-processed-gene-13.25-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.25&CDS=1-1113	K00965_R00955_metschnikowia_bicuspidata
snap_masked-scaffold_1-processed-gene-13.26-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.26&CDS=1-2061	K01784_R00291_metschnikowia_bicuspidata
genemark-scaffold_2-processed-gene-16.21-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-16.21&CDS=1-1446	K03781_R00009_metschnikowia_bicuspidata
snap_masked-scaffold_5-processed-gene-7.52-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.52&CDS=1-1119	K00121_R06983_metschnikowia_bicuspidata
genemark-scaffold_6-processed-gene-1.104-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.104&CDS=1-864	K01070_R00527_metschnikowia_bicuspidata
genemark-scaffold_2-processed-gene-19.16-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.16&CDS=1-1131	K00122_R00519_metschnikowia_bicuspidata
genemark-scaffold_1-processed-gene-52.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-52.17&CDS=1-837	YALI0F01650p_MNXR121148_metschnikowia_bicuspidata
augustus_masked-scaffold_1-processed-gene-52.122-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-52.122&CDS=1-3162	YALI0F01606g_R11461_metschnikowia_bicuspidata
genemark-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_5_length_530276_cov_18.07_ID_7041-processed-gene-0.49&CDS=1-1065	lad_MNXR117337_yHMPu5000026256_zygotorulaspora_mrakii
genemark-NODE_18_length_201302_cov_18.8036_ID_4532-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_18_length_201302_cov_18.8036_ID_4532-processed-gene-0.16&CDS=1-1563	K00849_R01092_yHMPu5000026256_zygotorulaspora_mrakii
genemark-NODE_18_length_201302_cov_18.8036_ID_4532-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_18_length_201302_cov_18.8036_ID_4532-processed-gene-0.37&CDS=1-1092	K00965_R00955_yHMPu5000026256_zygotorulaspora_mrakii
genemark-NODE_18_length_201302_cov_18.8036_ID_4532-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_18_length_201302_cov_18.8036_ID_4532-processed-gene-0.36&CDS=1-2100	K01784_R00291_yHMPu5000026256_zygotorulaspora_mrakii
augustus_masked-NODE_34_length_54318_cov_17.7253_ID_6616-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_34_length_54318_cov_17.7253_ID_6616-processed-gene-0.81&CDS=1-1548	K03781_R00009_yHMPu5000026256_zygotorulaspora_mrakii
genemark-NODE_8_length_392823_cov_18.3038_ID_6921-processed-gene-2.68-mRNA-1_1&gene=genemark-NODE_8_length_392823_cov_18.3038_ID_6921-processed-gene-2.68&CDS=1-1143	K00121_R06983_yHMPu5000026256_zygotorulaspora_mrakii
genemark-NODE_7_length_402487_cov_18.3106_ID_7148-processed-gene-2.115-mRNA-1_1&gene=genemark-NODE_7_length_402487_cov_18.3106_ID_7148-processed-gene-2.115&CDS=1-897	K01070_R00527_yHMPu5000026256_zygotorulaspora_mrakii
genemark-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-5.119-mRNA-1_1&gene=genemark-NODE_3_length_705464_cov_18.5159_ID_3568-processed-gene-5.119&CDS=1-1710	inu_MNXR115392_yHMPu5000026256_zygotorulaspora_mrakii
genemark-NODE_11_length_301531_cov_18.2014_ID_3036-processed-gene-2.112-mRNA-1_1&gene=genemark-NODE_11_length_301531_cov_18.2014_ID_3036-processed-gene-2.112&CDS=1-843	YALI0F01650p_MNXR121148_yHMPu5000026256_zygotorulaspora_mrakii
augustus_masked-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-NODE_2_length_708340_cov_18.0358_ID_2767-processed-gene-3.27&CDS=1-3387	YALI0F01606g_R11461_yHMPu5000026256_zygotorulaspora_mrakii
snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-1.150-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-1.150&CDS=1-1044	lad_MNXR117337_yHMPu5000026274_komagataella_populi
snap_masked-NODE_12_length_140570_cov_14.8648_ID_23-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_12_length_140570_cov_14.8648_ID_23-processed-gene-0.34&CDS=1-1167	K01784_R00291_yHMPu5000026274_komagataella_populi
snap_masked-NODE_12_length_140570_cov_14.8648_ID_23-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_12_length_140570_cov_14.8648_ID_23-processed-gene-0.65&CDS=1-1989	K17066_R00608_yHMPu5000026274_komagataella_populi
snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-11.133-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-11.133&CDS=1-1989	K17066_R00608_yHMPu5000026274_komagataella_populi
maker-NODE_2_length_1250338_cov_14.0143_ID_3-augustus-gene-6.1-mRNA-1_1&gene=maker-NODE_2_length_1250338_cov_14.0143_ID_3-augustus-gene-6.1&CDS=1-3003	K03781_R00009_yHMPu5000026274_komagataella_populi
snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-5.30-mRNA-1_1&gene=snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-5.30&CDS=1-2121	dha1_R01440_yHMPu5000026274_komagataella_populi
maker-NODE_3_length_1151431_cov_13.5986_ID_5-snap-gene-2.5-mRNA-1_1&gene=maker-NODE_3_length_1151431_cov_13.5986_ID_5-snap-gene-2.5&CDS=1-1137	K00121_R06983_yHMPu5000026274_komagataella_populi
snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-5.13-mRNA-1_1&gene=snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-5.13&CDS=1-897	K01070_R00527_yHMPu5000026274_komagataella_populi
snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-3.58-mRNA-1_1&gene=snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-3.58&CDS=1-1095	K00122_R00519_yHMPu5000026274_komagataella_populi
maker-NODE_4_length_855327_cov_14.0443_ID_7-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_4_length_855327_cov_14.0443_ID_7-augustus-gene-0.1&CDS=1-1659	K18338_R03772_yHMPu5000026274_komagataella_populi
snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-20.40-mRNA-1_1&gene=snap_masked-NODE_1_length_2210088_cov_13.6287_ID_1-processed-gene-20.40&CDS=1-1239	K12661_R03774_yHMPu5000026274_komagataella_populi
maker-NODE_5_length_777825_cov_13.2933_ID_9-snap-gene-6.4-mRNA-1_1&gene=maker-NODE_5_length_777825_cov_13.2933_ID_9-snap-gene-6.4&CDS=1-1728	YALI0F01650p_MNXR121148_yHMPu5000026274_komagataella_populi
snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-5.50-mRNA-1_1&gene=snap_masked-NODE_3_length_1151431_cov_13.5986_ID_5-processed-gene-5.50&CDS=1-1824	YALI0F01606g_R11461_yHMPu5000026274_komagataella_populi
snap_masked-Contig005569-processed-gene-13.79-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.79&CDS=1-1512	K00849_R01092_candida_parapsilosis
augustus_masked-Contig005569-processed-gene-13.16-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-13.16&CDS=1-2166	K00965_R00955_candida_parapsilosis
snap_masked-Contig005569-processed-gene-13.60-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.60&CDS=1-2013	K01784_R00291_candida_parapsilosis
snap_masked-Contig005809-processed-gene-16.20-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-16.20&CDS=1-1455	K03781_R00009_candida_parapsilosis
snap_masked-Contig005809-processed-gene-0.163-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-0.163&CDS=1-1137	K00121_R06983_candida_parapsilosis
snap_masked-Contig006110-processed-gene-2.79-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-2.79&CDS=1-852	K01070_R00527_candida_parapsilosis
snap_masked-Contig005809-processed-gene-6.74-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-6.74&CDS=1-1137	K00122_R00519_candida_parapsilosis
snap_masked-Contig005809-processed-gene-12.107-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-12.107&CDS=1-855	YALI0F01650p_MNXR121148_candida_parapsilosis
snap_masked-Contig006110-processed-gene-2.44-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-2.44&CDS=1-1776	YALI0F01606g_R11461_candida_parapsilosis
augustus_masked-LBNK01000001.1-processed-gene-10.84-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-10.84&CDS=1-1074	lad_MNXR117337_candida_apicola
augustus_masked-LBNK01000002.1-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-6.63&CDS=1-1185	K01784_R00291_candida_apicola
augustus_masked-LBNK01000003.1-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-LBNK01000003.1-processed-gene-3.45&CDS=1-1461	K03781_R00009_candida_apicola
augustus_masked-LBNK01000010.1-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-LBNK01000010.1-processed-gene-2.111&CDS=1-1158	K00121_R06983_candida_apicola
augustus_masked-LBNK01000006.1-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-LBNK01000006.1-processed-gene-4.118&CDS=1-843	K01070_R00527_candida_apicola
augustus_masked-LBNK01000008.1-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-3.31&CDS=1-1158	K00122_R00519_candida_apicola
augustus_masked-LBNK01000002.1-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-LBNK01000002.1-processed-gene-3.126&CDS=1-1542	inu_MNXR115392_candida_apicola
augustus_masked-LBNK01000001.1-processed-gene-8.139-mRNA-1_1&gene=augustus_masked-LBNK01000001.1-processed-gene-8.139&CDS=1-2649	YALI0F01650p_MNXR121148_candida_apicola
genemark-scf7180000020137-processed-gene-0.51-mRNA-1_1&gene=genemark-scf7180000020137-processed-gene-0.51&CDS=1-1491	K00849_R01092_yHAB164_kazachstania_aerobia
genemark-scf7180000019997-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000019997-processed-gene-0.1&CDS=1-1095	K00965_R00955_yHAB164_kazachstania_aerobia
