"ID"	"NAME"	"EQUATION"	"EC.NUMBER"	"GENE.ASSOCIATION"	"LOWER.BOUND"	"UPPER.BOUND"	"OBJECTIVE"	"COMPARTMENT"	"MIRIAM"	"SUBSYSTEM"	"REPLACEMENT.ID"	"NOTE"	"REFERENCE"	"CONFIDENCE.SCORE"	"other"
"R01702"	"4-methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating)"	"4-Methyl-2-oxopentanoate[s] + Enzyme N6-(lipoyl)lysine[s] <=> CO2[s] + [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine[s]"	"ec-code/1.2.4.4"	"Arthrobotrys_oligospora@Seq_4636 or yHMPu5000034673_Blastobotrys_nivea@Seq_2468"	-1000	1000	NA	NA	"kegg.reaction/R01702;kegg.orthology/K00167"	""	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01706"	"hexadecanoyl-[acyl-carrier protein] hydrolase"	"H2O[s] + Hexadecanoyl-[acp][s] <=> Acyl-carrier protein[s] + Hexadecanoic acid[s]"	"ec-code/2.3.1.85;ec-code/3.1.2.14"	"Sclerotinia_sclerotiorum@Seq_9694 or Botrytis_cinerea@Seq_3983 or Botrytis_cinerea@Seq_8147"	-1000	1000	NA	NA	"kegg.reaction/R01706;kegg.pathway/rn00061;kegg.orthology/K00665;rhea/41935"	"Fatty acid biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01709"	"pyridoxal:oxygen 4-oxidoreductase"	"H2O[s] + Oxygen[s] + Pyridoxal[s] <=> Hydrogen peroxide[s] + 4-Pyridoxate[s]"	"ec-code/1.2.3.1;ec-code/1.2.3.8"	"yHMPu5000034918_Nakazawaea_holstii@Seq_5765"	-1000	1000	NA	NA	"kegg.reaction/R01709;kegg.pathway/rn00750;kegg.orthology/K00157;rhea/23727"	"Vitamin B6 metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01754"	"ATP:L-arabinose 1-phosphotransferase"	"ATP[s] + L-Arabinose[s] <=> ADP[s] + beta-L-Arabinose 1-phosphate[s]"	"ec-code/2.7.1.46"	"Arthrobotrys_oligospora@Seq_7354"	-1000	1000	NA	NA	"kegg.reaction/R01754;kegg.pathway/rn00520;kegg.orthology/K12446;rhea/20156"	"Amino sugar and nucleotide sugar metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01768"	"hypoxanthine:NAD+ oxidoreductase"	"H2O[s] + NAD+[s] + Hypoxanthine[s] <=> NADH[s] + H+[s] + Xanthine[s]"	"ec-code/1.17.1.4"	"yHMPu5000034918_Nakazawaea_holstii@Seq_5765"	-1000	1000	NA	NA	"kegg.reaction/R01768;kegg.pathway/rn00230;kegg.orthology/K00106;rhea/24673"	"Purine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01769"	"Hypoxanthine:oxygen oxidoreductase"	"H2O[s] + Oxygen[s] + Hypoxanthine[s] <=> Hydrogen peroxide[s] + Xanthine[s]"	"ec-code/1.17.3.2"	"yHMPu5000034918_Nakazawaea_holstii@Seq_5765"	-1000	1000	NA	NA	"kegg.reaction/R01769;kegg.pathway/rn00230;kegg.orthology/K00106"	"Purine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01836"	"testosterone:NAD+ 17-oxidoreductase"	"NAD+[s] + Testosterone[s] <=> NADH[s] + H+[s] + Androstenedione[s]"	"ec-code/1.1.1.51;ec-code/1.1.1.239"	"yHMPu5000035675_Kregervanrija_fluxuum@Seq_5793"	-1000	1000	NA	NA	"kegg.reaction/R01836;kegg.pathway/rn00140;kegg.pathway/rn00984;kegg.orthology/K13370;rhea/14932"	"Steroid hormone biosynthesis;Steroid degradation"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01845"	"Sedoheptulose 1,7-bisphosphate 1-phosphohydrolase"	"H2O[s] + Sedoheptulose 1,7-bisphosphate[s] <=> Orthophosphate[s] + Sedoheptulose 7-phosphate[s]"	"ec-code/3.1.3.11;ec-code/3.1.3.37"	"Neurospora_crassa@Seq_9239"	-1000	1000	NA	NA	"kegg.reaction/R01845;kegg.pathway/rn00710;kegg.module/M00165;kegg.orthology/K01100;rhea/17464"	"Carbon fixation in photosynthetic organisms"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01859"	"propanoyl-CoA:carbon-dioxide ligase (ADP-forming)"	"ATP[s] + Propanoyl-CoA[s] + HCO3-[s] <=> ADP[s] + Orthophosphate[s] + (S)-Methylmalonyl-CoA[s]"	"ec-code/6.4.1.3"	"Botrytis_cinerea@Seq_8263 or yHMPu5000034655_Botryozyma_nematodophila@Seq_6484 or Coccidioides_immitis@Seq_1315"	-1000	1000	NA	NA	"kegg.reaction/R01859;kegg.pathway/rn00280;kegg.pathway/rn00630;kegg.pathway/rn00640;kegg.pathway/rn00720;kegg.module/M00373;kegg.orthology/K01965;kegg.orthology/K01966;rhea/23723"	"Valine, leucine and isoleucine degradation;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Carbon fixation pathways in prokaryotes"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01868"	"(S)-dihydroorotate:quinone oxidoreductase"	"(S)-Dihydroorotate[s] + Quinone[s] <=> Orotate[s] + Hydroquinone (C15603)[s]"	"ec-code/1.3.5.2"	"Lipomyces_starkeyi@Seq_8757"	-1000	1000	NA	NA	"kegg.reaction/R01868;kegg.pathway/rn00240;kegg.module/M00051;kegg.orthology/K00254;rhea/30190"	"Pyrimidine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01872"	"L-quinate:NAD+ 3-oxidoreductase;"	"NAD+[s] + Quinate[s] <=> NADH[s] + H+[s] + 3-Dehydroquinate[s]"	"ec-code/1.1.1.24;ec-code/1.1.1.282"	"Fusarium_graminearum@Seq_4372 or Metschnikowia_matae_maris@Seq_4805"	-1000	1000	NA	NA	"kegg.reaction/R01872;kegg.pathway/rn00400;kegg.orthology/K09484;rhea/22367"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01885"	""	"H2O[s] + ADP-ribose[s] => AMP[s] + alpha-D-Ribose 1-phosphate[s]"	"ec-code/3.6.1.21"	"Aspergillus_nidulans@Seq_3330"	0	1000	NA	NA	"kegg.reaction/R01885;kegg.pathway/rn00230;kegg.orthology/K18447"	"Purine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01914"	"spermidine:(acceptor) oxidoreductase"	"H2O[s] + Oxygen[s] + Spermidine[s] <=> Hydrogen peroxide[s] + 4-Aminobutyraldehyde[s] + 1,3-Diaminopropane[s]"	"ec-code/1.5.3.14;ec-code/1.5.99.6"	"Aspergillus_nidulans@Seq_5842"	-1000	1000	NA	NA	"kegg.reaction/R01914;kegg.pathway/rn00330;kegg.pathway/rn00410;kegg.orthology/K13366;rhea/25823"	"Arginine and proline metabolism;beta-Alanine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01941"	"Caffeic aldehyde:NADP+ oxidoreductase (CoA-caffeoylating)"	"NADP+[s] + CoA[s] + Caffeic aldehyde[s] <=> NADPH[s] + H+[s] + Caffeoyl-CoA[s]"	"ec-code/1.2.1.44"	"yHMPu5000035665_Middelhovenomyces_tepae@Seq_3271"	-1000	1000	NA	NA	"kegg.reaction/R01941;kegg.pathway/rn00940;kegg.orthology/K09753"	"Phenylpropanoid biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01943"	"Caffeate:CoA ligase (AMP-forming);"	"ATP[s] + CoA[s] + Caffeate[s] <=> Diphosphate[s] + AMP[s] + Caffeoyl-CoA[s]"	"ec-code/6.2.1.12"	"Candida_versatilis@Seq_2066 or Aspergillus_nidulans@Seq_10519 or Botrytis_cinerea@Seq_15110 or Saitoella_complicata@Seq_2076 or Aspergillus_nidulans@Seq_3785 or Fusarium_graminearum@Seq_316 or Coccidioides_immitis@Seq_7777 or Arthrobotrys_oligospora@Seq_1782 or Saitoella_complicata@Seq_6361 or Yarrowia_lipolytica@Seq_2595 or Neurospora_crassa@Seq_4582 or Xylona_heveae@Seq_7674 or Aspergillus_nidulans@Seq_10195 or yHMPu5000035645_Yarrowia_divulgata@Seq_495 or Coccidioides_immitis@Seq_4073 or Aspergillus_nidulans@Seq_6278 or Neurospora_crassa@Seq_8617 or Coccidioides_immitis@Seq_2083 or Aspergillus_nidulans@Seq_1691 or Candida_versatilis@Seq_2347"	-1000	1000	NA	NA	"kegg.reaction/R01943;kegg.pathway/rn00940;kegg.module/M00039;kegg.orthology/K01904;rhea/36302"	"Phenylpropanoid biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01968"	"2'-deoxyguanosine 5'-monophosphate phosphohydrolase"	"H2O[s] + dGMP[s] <=> Orthophosphate[s] + Deoxyguanosine[s]"	"ec-code/3.1.3.5;ec-code/3.1.3.89"	"yHMPu5000034904_Ogataea_nonfermentans@Seq_2519 or Fusarium_graminearum@Seq_4952"	-1000	1000	NA	NA	"kegg.reaction/R01968;kegg.pathway/rn00230;kegg.orthology/K03787;kegg.orthology/K19970;rhea/29382"	"Purine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01976"	"(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase"	"NADP+[s] + (S)-3-Hydroxybutanoyl-CoA[s] <=> NADPH[s] + H+[s] + Acetoacetyl-CoA[s]"	"ec-code/1.1.1.157"	"yHMPu5000034635_Nadsonia_fulvescens@Seq_2608 or Lipomyces_starkeyi@Seq_7051"	-1000	1000	NA	NA	"kegg.reaction/R01976;kegg.pathway/rn00362;kegg.pathway/rn00650;kegg.orthology/K00074;rhea/16200"	"Benzoate degradation;Butanoate metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R01989"	"L-Arginine:4-aminobutanoate amidinotransferase"	"L-Arginine[s] + 4-Aminobutanoate[s] <=> L-Ornithine[s] + 4-Guanidinobutanoate[s]"	"ec-code/2.1.4.1"	"Neurospora_crassa@Seq_7453"	-1000	1000	NA	NA	"kegg.reaction/R01989;kegg.pathway/rn00330;kegg.orthology/K00613"	"Arginine and proline metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02050"	"(R)-3-Amino-2-methylpropanoate:pyruvate aminotransferase"	"Pyruvate[s] + (R)-3-Amino-2-methylpropanoate[s] <=> L-Alanine[s] + 2-Methyl-3-oxopropanoate[s]"	"ec-code/2.6.1.40"	"Fusarium_graminearum@Seq_6837"	-1000	1000	NA	NA	"kegg.reaction/R02050;kegg.pathway/rn00280;kegg.orthology/K00827;rhea/18396"	"Valine, leucine and isoleucine degradation"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02052"	"Phosphatidylethanolamine ethanolaminephosphohydrolase"	"H2O[s] + Phosphatidylethanolamine[s] <=> Ethanolamine phosphate[s] + 1,2-Diacyl-sn-glycerol[s]"	"ec-code/3.1.4.3"	"Aspergillus_nidulans@Seq_1439 or Arxula_adeninivorans@Seq_3682 or yHMPu5000034760_Lipomyces_kononenkoae@Seq_4075 or yHMPu5000034760_Lipomyces_kononenkoae@Seq_5909 or yHMPu5000034761_Lipomyces_lipofer@Seq_4832 or yHMPu5000034667_Blastobotrys_serpentis@Seq_6534"	-1000	1000	NA	NA	"kegg.reaction/R02052;kegg.pathway/rn00564;kegg.orthology/K01114"	"Glycerophospholipid metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02059"	"N-Acetyl-D-glucosamine-6-phosphate amidohydrolase"	"H2O[s] + N-Acetyl-D-glucosamine 6-phosphate[s] <=> Acetate[s] + D-Glucosamine 6-phosphate[s]"	"ec-code/3.5.1.25"	"Metschnikowia_bowlesiae@Seq_2683 or Stagonospora_nodorum@Seq_3042"	-1000	1000	NA	NA	"kegg.reaction/R02059;kegg.pathway/rn00520;kegg.orthology/K01443;rhea/22939"	"Amino sugar and nucleotide sugar metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02065"	"geranylgeranyl-diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase"	"2 Geranylgeranyl diphosphate[s] <=> Diphosphate[s] + Prephytoene diphosphate[s]"	"ec-code/2.5.1.32"	"Arthrobotrys_oligospora@Seq_49"	-1000	1000	NA	NA	"kegg.reaction/R02065;kegg.pathway/rn00906;kegg.module/M00097;kegg.orthology/K17841;rhea/22299"	"Carotenoid biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02068"	"ent-copalyl-diphosphate lyase"	"Geranylgeranyl diphosphate[s] <=> ent-Copalyl diphosphate[s]"	"ec-code/5.5.1.13"	"Neurospora_crassa@Seq_2793 or Aspergillus_nidulans@Seq_8472 or Botrytis_cinerea@Seq_8017"	-1000	1000	NA	NA	"kegg.reaction/R02068;kegg.pathway/rn00904;kegg.orthology/K20657;rhea/14844"	"Diterpenoid biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02080"	"3,4-Dihydroxy-L-phenylalanine carboxy-lyase"	"3,4-Dihydroxy-L-phenylalanine[s] <=> CO2[s] + Dopamine[s]"	"ec-code/4.1.1.25;ec-code/4.1.1.28"	"Fusarium_graminearum@Seq_7817 or Fusarium_graminearum@Seq_13318"	-1000	1000	NA	NA	"kegg.reaction/R02080;kegg.pathway/rn00350;kegg.pathway/rn00950;kegg.pathway/rn00965;kegg.module/M00042;kegg.orthology/K01593;rhea/12275"	"Tyrosine metabolism;Isoquinoline alkaloid biosynthesis;Betalain biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02085"	"(S)-3-Hydroxy-3-methylglutaryl-CoA hydro-lyase (trans-3-methylglutaconyl-CoA-forming)"	"(S)-3-Hydroxy-3-methylglutaryl-CoA[s] <=> H2O[s] + 3-Methylglutaconyl-CoA[s]"	"ec-code/4.2.1.18"	"Geotrichum_candidum@Seq_5627"	-1000	1000	NA	NA	"kegg.reaction/R02085;kegg.pathway/rn00280;kegg.module/M00036;kegg.orthology/K05607;rhea/21539"	"Valine, leucine and isoleucine degradation"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02088"	"2'-deoxyadenosine 5'-monophosphate phosphohydrolase"	"H2O[s] + dAMP[s] <=> Orthophosphate[s] + Deoxyadenosine[s]"	"ec-code/3.1.3.5;ec-code/3.1.3.89"	"yHMPu5000034904_Ogataea_nonfermentans@Seq_2519 or Fusarium_graminearum@Seq_4952"	-1000	1000	NA	NA	"kegg.reaction/R02088;kegg.pathway/rn00230;kegg.orthology/K03787;kegg.orthology/K19970;rhea/29374"	"Purine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02102"	"2'-deoxyuridine 5'-monophosphate phosphohydrolase"	"H2O[s] + dUMP[s] => Orthophosphate[s] + Deoxyuridine[s]"	"ec-code/3.1.3.5;ec-code/3.1.3.89"	"yHMPu5000034904_Ogataea_nonfermentans@Seq_2519 or Fusarium_graminearum@Seq_4952"	0	1000	NA	NA	"kegg.reaction/R02102;kegg.pathway/rn00240;kegg.orthology/K03787;kegg.orthology/K19970;rhea/29358"	"Pyrimidine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02103"	"xanthine:NAD+ oxidoreductase"	"H2O[s] + NAD+[s] + Xanthine[s] <=> NADH[s] + H+[s] + Urate[s]"	"ec-code/1.17.1.4"	"yHMPu5000034918_Nakazawaea_holstii@Seq_5765"	-1000	1000	NA	NA	"kegg.reaction/R02103;kegg.pathway/rn00230;kegg.module/M00546;kegg.orthology/K00106;rhea/16672"	"Purine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02106"	"urate:oxygen oxidoreductase"	"H2O[s] + Oxygen[s] + Urate[s] <=> Hydrogen peroxide[s] + 5-Hydroxyisourate[s]"	"ec-code/1.7.3.3"	"Metschnikowia_arizonensis@Seq_1293"	-1000	1000	NA	NA	"kegg.reaction/R02106;kegg.pathway/rn00230;kegg.module/M00546;kegg.orthology/K00365;rhea/21371"	"Purine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02107"	"Xanthine:oxygen oxidoreductase"	"H2O[s] + Oxygen[s] + Xanthine[s] <=> Hydrogen peroxide[s] + Urate[s]"	"ec-code/1.17.3.2"	"yHMPu5000034918_Nakazawaea_holstii@Seq_5765"	-1000	1000	NA	NA	"kegg.reaction/R02107;kegg.pathway/rn00230;kegg.module/M00546;kegg.orthology/K00106;rhea/21135"	"Purine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02112"	"1,4-alpha-D-Glucan maltohydrolase"	"Starch[s] <=> Maltose[s] + Dextrin[s]"	"ec-code/3.2.1.1;ec-code/3.2.1.2;ec-code/3.2.1.133"	"Aspergillus_nidulans@Seq_9798 or Aspergillus_nidulans@Seq_4561 or Sclerotinia_sclerotiorum@Seq_105 or yHMPu5000035650_Trigonopsis_variabilis@Seq_5426 or Neurospora_crassa@Seq_9017 or Schizosaccharomyces_pombe@Seq_4314 or yHMPu5000034760_Lipomyces_kononenkoae@Seq_3351 or Arthrobotrys_oligospora@Seq_1101"	-1000	1000	NA	NA	"kegg.reaction/R02112;kegg.pathway/rn00500;kegg.orthology/K01176"	"Starch and sucrose metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02125"	"retinal:oxygen oxidoreductase"	"H2O[s] + Oxygen[s] + Retinal[s] <=> Hydrogen peroxide[s] + Retinoate[s]"	"ec-code/1.2.3.1"	"yHMPu5000034918_Nakazawaea_holstii@Seq_5765"	-1000	1000	NA	NA	"kegg.reaction/R02125;kegg.pathway/rn00830;kegg.orthology/K00157;rhea/22523"	"Retinol metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02150"	"1H-Imidazole-4-ethanamine:oxygen oxidoreductase (deaminating) (copper-containing)"	"H2O[s] + Oxygen[s] + Histamine[s] => Ammonia[s] + Hydrogen peroxide[s] + Imidazole-4-acetaldehyde[s]"	"ec-code/1.4.3.22"	"Stagonospora_nodorum@Seq_7372 or yHMPu5000035703_Cyberlindnera_americana@Seq_3465"	0	1000	NA	NA	"kegg.reaction/R02150;kegg.pathway/rn00340;kegg.orthology/K11182;rhea/25628"	"Histidine metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02173"	"Tryptamine:oxygen oxidoreductase(deaminating)"	"H2O[s] + Oxygen[s] + Tryptamine[s] => Ammonia[s] + Hydrogen peroxide[s] + Indole-3-acetaldehyde[s]"	"ec-code/1.4.3.4;ec-code/1.4.3.22"	"yHMPu5000035282_Trigonopsis_vinaria@Seq_5166 or Xylona_heveae@Seq_7565 or Fusarium_graminearum@Seq_28 or Fusarium_graminearum@Seq_2075 or Coccidioides_immitis@Seq_2823 or Stagonospora_nodorum@Seq_7372 or yHMPu5000035703_Cyberlindnera_americana@Seq_3465"	0	1000	NA	NA	"kegg.reaction/R02173;kegg.pathway/rn00380;kegg.orthology/K00274;kegg.orthology/K11182"	"Tryptophan metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02193"	"Coniferyl aldehyde:NADP+ oxidoreductase (CoA-feruloylating)"	"NADP+[s] + CoA[s] + Coniferyl aldehyde[s] <=> NADPH[s] + H+[s] + Feruloyl-CoA[s]"	"ec-code/1.2.1.44"	"yHMPu5000035665_Middelhovenomyces_tepae@Seq_3271"	-1000	1000	NA	NA	"kegg.reaction/R02193;kegg.pathway/rn00940;kegg.module/M00039;kegg.orthology/K09753"	"Phenylpropanoid biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02194"	"Ferulate:CoA ligase (AMP-forming)"	"ATP[s] + CoA[s] + Ferulate[s] <=> Diphosphate[s] + AMP[s] + Feruloyl-CoA[s]"	"ec-code/6.2.1.12"	"Candida_versatilis@Seq_2066 or Aspergillus_nidulans@Seq_10519 or Botrytis_cinerea@Seq_15110 or Saitoella_complicata@Seq_2076 or Aspergillus_nidulans@Seq_3785 or Fusarium_graminearum@Seq_316 or Coccidioides_immitis@Seq_7777 or Arthrobotrys_oligospora@Seq_1782 or Saitoella_complicata@Seq_6361 or Yarrowia_lipolytica@Seq_2595 or Neurospora_crassa@Seq_4582 or Xylona_heveae@Seq_7674 or Aspergillus_nidulans@Seq_10195 or yHMPu5000035645_Yarrowia_divulgata@Seq_495 or Coccidioides_immitis@Seq_4073 or Aspergillus_nidulans@Seq_6278 or Neurospora_crassa@Seq_8617 or Coccidioides_immitis@Seq_2083 or Aspergillus_nidulans@Seq_1691 or Candida_versatilis@Seq_2347"	-1000	1000	NA	NA	"kegg.reaction/R02194;kegg.pathway/rn00940;kegg.orthology/K01904;rhea/36254"	"Phenylpropanoid biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02197"	"L-Isoleucine:oxygen oxidoreductase (deaminating)"	"H2O[s] + Oxygen[s] + L-Isoleucine[s] <=> Ammonia[s] + Hydrogen peroxide[s] + (S)-3-Methyl-2-oxopentanoic acid[s]"	"ec-code/1.4.3.2"	"Neurospora_crassa@Seq_10341"	-1000	1000	NA	NA	"kegg.reaction/R02197;kegg.pathway/rn00280;kegg.orthology/K03334"	"Valine, leucine and isoleucine degradation"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02204"	"L-Pipecolate:oxygen 1,6-oxidoreductase"	"Oxygen[s] + L-Pipecolate[s] <=> Hydrogen peroxide[s] + (S)-2,3,4,5-Tetrahydropyridine-2-carboxylate[s]"	"ec-code/1.5.3.7"	"yHMPu5000034897_Ogataea_glucozyma@Seq_5556 or Aspergillus_nidulans@Seq_2256 or Kuraishia_capsulata@Seq_4378 or yHMPu5000041863_Candida_gorgasii@Seq_1079 or yHMPu5000034893_Ogataea_philodendra@Seq_1202 or Pachysolen_tannophilus@Seq_4885 or Kuraishia_capsulata@Seq_3075 or yHMPu5000026197_Brettanomyces_custersianus@Seq_3602 or yHMPu5000035296_Priceomyces_carsonii@Seq_1208 or Fusarium_graminearum@Seq_9926 or Aspergillus_nidulans@Seq_1695 or Arthrobotrys_oligospora@Seq_9535 or Stagonospora_nodorum@Seq_6230 or Ambrosiozyma_monospora@Seq_6306 or Alloascoidea_hylecoeti@Seq_452"	-1000	1000	NA	NA	"kegg.reaction/R02204;kegg.pathway/rn00310;kegg.orthology/K00306;rhea/11995"	"Lysine degradation"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02211"	"progesterone,NADPH-hemoprotein reductase:oxygen oxidoreductase (17alpha-hydroxylating)"	"Oxygen[s] + Progesterone[s] + [Reduced NADPH---hemoprotein reductase][s] <=> H2O[s] + 17alpha-Hydroxyprogesterone[s] + [Oxidized NADPH---hemoprotein reductase][s]"	"ec-code/1.14.14.19"	"Stagonospora_nodorum@Seq_11395 or Sporopachydermia_quercuum@Seq_5820 or Fusarium_graminearum@Seq_3680 or yHMPu5000034742_Lipomyces_suomiensis@Seq_5736 or Stagonospora_nodorum@Seq_1625 or Saitoella_complicata@Seq_2744 or Aspergillus_nidulans@Seq_3801 or Stagonospora_nodorum@Seq_7114 or Stagonospora_nodorum@Seq_3885 or Stagonospora_nodorum@Seq_1491 or Neurospora_crassa@Seq_6565 or Neurospora_crassa@Seq_1100 or Fusarium_graminearum@Seq_9970"	-1000	1000	NA	NA	"kegg.reaction/R02211;kegg.pathway/rn00140;kegg.module/M00109;kegg.orthology/K00512"	"Steroid hormone biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02220"	"sinapoyl aldehyde:NADP+ oxidoreductase (CoA-sinapoylating)"	"NADP+[s] + CoA[s] + Sinapoyl aldehyde[s] <=> NADPH[s] + H+[s] + Sinapoyl-CoA[s]"	"ec-code/1.2.1.44"	"yHMPu5000035665_Middelhovenomyces_tepae@Seq_3271"	-1000	1000	NA	NA	"kegg.reaction/R02220;kegg.pathway/rn00940;kegg.orthology/K09753"	"Phenylpropanoid biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02221"	"Sinapate:CoA ligase (AMP-forming)"	"ATP[s] + CoA[s] + Sinapate[s] <=> Diphosphate[s] + AMP[s] + Sinapoyl-CoA[s]"	"ec-code/6.2.1.12"	"Candida_versatilis@Seq_2066 or Aspergillus_nidulans@Seq_10519 or Botrytis_cinerea@Seq_15110 or Saitoella_complicata@Seq_2076 or Aspergillus_nidulans@Seq_3785 or Fusarium_graminearum@Seq_316 or Coccidioides_immitis@Seq_7777 or Arthrobotrys_oligospora@Seq_1782 or Saitoella_complicata@Seq_6361 or Yarrowia_lipolytica@Seq_2595 or Neurospora_crassa@Seq_4582 or Xylona_heveae@Seq_7674 or Aspergillus_nidulans@Seq_10195 or yHMPu5000035645_Yarrowia_divulgata@Seq_495 or Coccidioides_immitis@Seq_4073 or Aspergillus_nidulans@Seq_6278 or Neurospora_crassa@Seq_8617 or Coccidioides_immitis@Seq_2083 or Aspergillus_nidulans@Seq_1691 or Candida_versatilis@Seq_2347"	-1000	1000	NA	NA	"kegg.reaction/R02221;kegg.pathway/rn00940;kegg.orthology/K01904"	"Phenylpropanoid biosynthesis"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02231"	"Cyclohexanone,NADPH:oxygen oxidoreductase (6-hydroxylating 1,2-lactonizing)"	"NADPH[s] + Oxygen[s] + H+[s] + Cyclohexanone[s] <=> H2O[s] + NADP+[s] + epsilon-Caprolactone[s]"	"ec-code/1.14.13.22"	"Aspergillus_nidulans@Seq_4875 or Stagonospora_nodorum@Seq_10364 or Fusarium_graminearum@Seq_5706 or Stagonospora_nodorum@Seq_9333 or yHMPu5000041829_Debaryomyces_fabryi@Seq_2573 or Stagonospora_nodorum@Seq_2438 or Metschnikowia_kipukae@Seq_1387 or yHMPu5000034671_Blastobotrys_peoriensis@Seq_1886 or Aspergillus_nidulans@Seq_8936 or Sclerotinia_sclerotiorum@Seq_8623 or Sclerotinia_sclerotiorum@Seq_97 or Stagonospora_nodorum@Seq_1643"	-1000	1000	NA	NA	"kegg.reaction/R02231;kegg.pathway/rn00930;kegg.orthology/K03379;rhea/24071"	"Caprolactam degradation"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
"R02243"	"cis-Aconitate carboxy-lyase"	"cis-Aconitate[s] => CO2[s] + Itaconate[s]"	"ec-code/4.1.1.6"	"Fusarium_graminearum@Seq_4719 or Aspergillus_nidulans@Seq_8365"	0	1000	NA	NA	"kegg.reaction/R02243;kegg.pathway/rn00660;kegg.orthology/K17724;rhea/15256"	"C5-Branched dibasic acid metabolism"	NA	"Included by getKEGGModelFromOrganism (using HMMs)"	NA	NA	NA
