"EC"	"query"
"4.2.1.90"	"yHMPu5000034605_Spencermartinsiella_europaea@Seq_3484"
"1.4.1.4"	"yHMPu5000035261_Candida_ponderosae@Seq_726"
"2.3.1.45"	"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_859"
"1.14.13.22"	"yHMPu5000041829_Debaryomyces_fabryi@Seq_2573"
"1.4.3.21"	"Kluyveromyces_lactis@Seq_1820"
"2.3.1.47"	"Geotrichum_candidum@Seq_4731"
"3.5.1.10"	"Sclerotinia_sclerotiorum@Seq_4334"
"3.4.23.24"	"Spathaspora_hagerdaliae@Seq_6089"
"3.5.1.16"	"yHMPu5000035279_Tortispora_starmeri@Seq_822"
"1.1.99.1"	"Aspergillus_nidulans@Seq_2334"
"2.1.1.79"	"yHMPu5000034862_Zygotorulaspora_florentina@Seq_718"
"2.7.1.83"	"yHMPu5000034594_Starmera_quercuum@Seq_1985"
"4.2.1.70"	"yHMPu5000034594_Starmera_quercuum@Seq_1985"
"2.3.2.25"	"Komagataella_pastoris@Seq_4575"
"1.3.5.2"	"Lipomyces_starkeyi@Seq_8757"
"1.1.1.250"	"Ascoidea_asiatica@Seq_3633"
"1.1.99.18"	"Fusarium_graminearum@Seq_11258"
"1.4.3.3"	"yHMPu5000034952_Citeromyces_siamensis@Seq_4019"
"3.2.1.10"	"Metschnikowia_cerradonensis@Seq_2033"
"3.2.1.20"	"Metschnikowia_cerradonensis@Seq_2033"
"1.6.99.1"	"yHMPu5000035044_Barnettozyma_californica@Seq_1222"
"3.2.1.151"	"Botrytis_cinerea@Seq_8222"
"3.2.1.10"	"yHMPu5000026152_Torulaspora_franciscae@Seq_1367"
"1.14.18.1"	"Stagonospora_nodorum@Seq_8506"
"3.4.14.9"	"Neurospora_crassa@Seq_2278"
"3.5.1.49"	"yHMPu5000034760_Lipomyces_kononenkoae@Seq_4642"
"5.3.2.6"	"Candida_versatilis@Seq_74"
"1.3.99.12"	"yHMPu5000034655_Botryozyma_nematodophila@Seq_5992"
"4.2.1.69"	"Stagonospora_nodorum@Seq_2143"
"1.5.3.1"	"Fusarium_graminearum@Seq_9926"
"1.5.3.7"	"Fusarium_graminearum@Seq_9926"
"1.6.99.1"	"yHMPu5000034681_Blastobotrys_americana@Seq_5332"
"3.6.3.7"	"Candida_parapsilosis@Seq_4568"
"4.2.2.10"	"Fusarium_graminearum@Seq_4731"
"3.5.1.87"	"Meyerozyma_guilliermondii@Seq_3018"
"2.3.1.189"	"Arxula_adeninivorans@Seq_962"
"3.4.23.34"	"Botrytis_cinerea@Seq_8142"
"3.2.1.80"	"yHMPu5000034749_Lipomyces_mesembrius@Seq_2346"
"4.6.1.13"	"yHMPu5000034892_Ogataea_pilisensis@Seq_1503"
"1.1.1.24"	"Metschnikowia_arizonensis@Seq_2839"
"3.2.1.52"	"Fusarium_graminearum@Seq_9532"
"1.14.13.1"	"Botrytis_cinerea@Seq_245"
"3.2.1.10"	"Metschnikowia_cerradonensis@Seq_2312"
"3.2.1.20"	"Metschnikowia_cerradonensis@Seq_2312"
"3.2.1.4"	"Sclerotinia_sclerotiorum@Seq_13524"
"3.6.3.6"	"yHMPu5000034654_Aciculoconidium_aculeatum@Seq_5929"
"2.2.1.7"	"yHMPu5000041855_Candida_ascalaphidarum@Seq_2859"
"3.4.23.24"	"Starmerella_bombicola_JCM9596@Seq_4030"
"1.5.3.1"	"yHMPu5000041863_Candida_gorgasii@Seq_1079"
"1.5.3.18"	"yHMPu5000041863_Candida_gorgasii@Seq_1079"
"1.5.3.7"	"yHMPu5000041863_Candida_gorgasii@Seq_1079"
"4.2.1.53"	"Aspergillus_nidulans@Seq_1683"
"3.1.6.1"	"yHMPu5000034604_Sporopachydermia_lactativora@Seq_3915"
"1.14.13.1"	"Sclerotinia_sclerotiorum@Seq_11671"
"1.14.13.1"	"Aspergillus_nidulans@Seq_8080"
"1.4.3.3"	"Nadsonia_fulvescens_var_elongata@Seq_5575"
"1.1.1.67"	"yHMPu5000035651_Torulaspora_microellipsoides@Seq_4234"
"3.2.1.4"	"Arthrobotrys_oligospora@Seq_6748"
"1.6.99.1"	"Tetrapisispora_blattae@Seq_190"
"3.1.3.5"	"yHMPu5000034748_Lipomyces_oligophaga@Seq_4095"
"2.8.3.13"	"Geotrichum_candidum@Seq_4262"
"1.1.1.343"	"Metschnikowia_santaceciliae@Seq_821"
"1.1.1.44"	"Metschnikowia_santaceciliae@Seq_821"
"3.4.19.3"	"yHMPu5000035654_Tortispora_ganteri@Seq_3895"
"4.2.2.10"	"Aspergillus_nidulans@Seq_5826"
"1.10.3.3"	"yHMPu5000034761_Lipomyces_lipofer@Seq_3909"
"2.4.1.80"	"Metschnikowia_shivogae@Seq_4820"
"3.5.1.25"	"Stagonospora_nodorum@Seq_3042"
"3.2.1.91"	"Neurospora_crassa@Seq_2034"
"2.7.1.95"	"Pichia_membranifaciens@Seq_1143"
"4.2.1.129"	"Aspergillus_nidulans@Seq_2375"
"5.4.99.17"	"Aspergillus_nidulans@Seq_2375"
"3.2.1.31"	"Aspergillus_nidulans@Seq_2545"
"3.1.1.47"	"Botrytis_cinerea@Seq_6973"
"2.4.1.80"	"yHMPu5000034655_Botryozyma_nematodophila@Seq_4583"
"3.6.3.6"	"yHMPu5000034631_Martiniozyma_abiesophila@Seq_11754"
"3.2.1.75"	"yHMPu5000034673_Blastobotrys_nivea@Seq_6369"
"3.4.23.24"	"yHMPu5000034665_Kodamaea_laetipori@Seq_5065"
"3.2.1.123"	"Arthrobotrys_oligospora@Seq_8698"
"1.4.3.21"	"Babjeviella_inositovora@Seq_3257"
"1.4.3.3"	"yHMPu5000034952_Citeromyces_siamensis@Seq_1074"
"3.4.13.19"	"yHMPu5000035689_Candida_mycetangii@Seq_3427"
"5.3.3.5"	"Fusarium_graminearum@Seq_9150"
"2.7.1.49"	"Ambrosiozyma_monospora@Seq_161"
"2.7.4.7"	"Ambrosiozyma_monospora@Seq_161"
"3.5.99.2"	"Ambrosiozyma_monospora@Seq_161"
"3.1.1.72"	"Fusarium_graminearum@Seq_369"
"3.4.14.9"	"Sclerotinia_sclerotiorum@Seq_2526"
"6.4.1.4"	"yHMPu5000034673_Blastobotrys_nivea@Seq_1613"
"4.2.1.90"	"yHMPu5000034947_Ambrosiozyma_philentoma@Seq_2254"
"3.5.4.33"	"yHMPu5000034884_Peterozyma_toletana@Seq_2170"
"1.14.13.7"	"Fusarium_graminearum@Seq_1104"
"1.21.3.1"	"Aspergillus_nidulans@Seq_5559"
"3.2.1.52"	"yHMPu5000034605_Spencermartinsiella_europaea@Seq_1974"
"3.1.1.65"	"Meyerozyma_guilliermondii@Seq_230"
"1.14.13.1"	"Sclerotinia_sclerotiorum@Seq_11658"
"1.6.99.1"	"yHMPu5000034902_Ogataea_minuta@Seq_4124"
"3.6.3.6"	"yHMPu5000034631_Martiniozyma_abiesophila@Seq_2835"
"3.2.1.171"	"Botrytis_cinerea@Seq_10974"
"3.6.3.6"	"Metschnikowia_bowlesiae@Seq_4291"
"1.6.99.1"	"Spathaspora_hagerdaliae@Seq_4556"
"4.1.3.30"	"Aspergillus_nidulans@Seq_1712"
"1.3.1.106"	"yHMPu5000034902_Ogataea_minuta@Seq_3490"
"1.3.1.54"	"yHMPu5000034902_Ogataea_minuta@Seq_3490"
"2.1.1.195"	"yHMPu5000034902_Ogataea_minuta@Seq_3490"
"1.6.99.1"	"Fusarium_graminearum@Seq_2005"
"3.2.1.23"	"yHMPu5000034754_Lipomyces_arxii@Seq_5517"
"2.3.3.14"	"Candida_sojae@Seq_1603"
"3.2.1.22"	"Aspergillus_nidulans@Seq_304"
"3.2.1.1"	"Aspergillus_nidulans@Seq_9798"
"3.2.1.52"	"Metschnikowia_hamakuensis@Seq_3113"
"2.8.1.12"	"Fusarium_graminearum@Seq_5989"
"4.2.1.130"	"Metschnikowia_matae@Seq_2387"
"3.2.1.143"	"Arthrobotrys_oligospora@Seq_5728"
"3.2.1.18"	"yHMPu5000034655_Botryozyma_nematodophila@Seq_3110"
"1.1.1.289"	"yHMPu5000034952_Citeromyces_siamensis@Seq_9282"
"3.5.3.11"	"Xylona_heveae@Seq_4257"
"1.4.3.21"	"Metschnikowia_ipomoeae@Seq_5638"
"1.1.1.205"	"Metschnikowia_santaceciliae@Seq_3053"
"1.1.1.343"	"Metschnikowia_cerradonensis@Seq_557"
"1.1.1.44"	"Metschnikowia_cerradonensis@Seq_557"
"3.6.3.6"	"Metschnikowia_continentalis@Seq_3965"
"1.14.13.7"	"yHMPu5000035670_Phaffomyces_opuntiae@Seq_3157"
"2.7.11.26"	"Candida_orthopsilosis@Seq_4272"
"3.2.1.177"	"Metschnikowia_shivogae@Seq_2677"
"2.3.1.18"	"yHMPu5000026152_Torulaspora_franciscae@Seq_2207"
"2.3.1.79"	"yHMPu5000026152_Torulaspora_franciscae@Seq_2207"
"1.13.11.27"	"Millerozyma_acaciae@Seq_4071"
"1.1.3.15"	"yHMPu5000034667_Blastobotrys_serpentis@Seq_5053"
"2.7.1.172"	"Lipomyces_starkeyi@Seq_5348"
"1.8.3.1"	"Fusarium_graminearum@Seq_5125"
"3.2.1.171"	"Aspergillus_nidulans@Seq_9295"
"3.4.21.92"	"Arthrobotrys_oligospora@Seq_236"
"6.2.1.16"	"Sclerotinia_sclerotiorum@Seq_3030"
"3.5.2.2"	"yHMPu5000034655_Botryozyma_nematodophila@Seq_7233"
"5.3.99.2"	"Botrytis_cinerea@Seq_14955"
"1.14.99.54"	"Neurospora_crassa@Seq_1820"
"1.1.1.127"	"yHMPu5000041678_Debaryomyces_prosopidis@Seq_1865"
"4.2.1.69"	"Lipomyces_starkeyi@Seq_2613"
"3.5.2.2"	"yHMPu5000035242_Zygoascus_ofunaensis@Seq_2005"
"3.2.1.10"	"yHMPu5000026142_Citeromyces_matritensis@Seq_1149"
"3.2.1.20"	"yHMPu5000026142_Citeromyces_matritensis@Seq_1149"
"1.14.99.54"	"Fusarium_graminearum@Seq_10552"
"1.14.14.5"	"Sclerotinia_sclerotiorum@Seq_5606"
"3.6.3.6"	"yHMPu5000035301_Pichia_terricola@Seq_1494"
"3.1.6.1"	"yHMPu5000026142_Citeromyces_matritensis@Seq_6079"
"1.14.11.17"	"Candida_infanticola@Seq_3711"
"4.2.1.130"	"Metschnikowia_cerradonensis@Seq_4081"
"1.14.99.51"	"yHMPu5000034655_Botryozyma_nematodophila@Seq_2554"
"2.1.1.44"	"yHMPu5000034655_Botryozyma_nematodophila@Seq_2554"
"2.2.1.3"	"yHMPu5000035690_Candida_vartiovaarae@Seq_1713"
"1.14.13.22"	"yHMPu5000041829_Debaryomyces_fabryi@Seq_5475"
"3.5.2.2"	"yHMPu5000034655_Botryozyma_nematodophila@Seq_1847"
"3.4.23.24"	"Ascoidea_rubescens@Seq_2206"
"3.2.1.10"	"yHMPu5000026137_Ambrosiozyma_ambrosiae@Seq_2433"
"3.2.1.20"	"yHMPu5000026137_Ambrosiozyma_ambrosiae@Seq_2433"
"3.2.1.80"	"Lipomyces_starkeyi@Seq_3230"
"1.1.3.15"	"yHMPu5000035665_Middelhovenomyces_tepae@Seq_477"
"3.1.3.5"	"yHMPu5000034932_Kuraishia_ogatae@Seq_5368"
"3.5.3.18"	"yHMPu5000034646_Wickerhamiella_cacticola@Seq_4290"
"1.1.1.35"	"Stagonospora_nodorum@Seq_9339"
"4.2.1.107"	"Stagonospora_nodorum@Seq_9339"
"4.2.1.119"	"Stagonospora_nodorum@Seq_9339"
"3.1.1.2"	"yHMPu5000041822_Dipodascus_geniculatus@Seq_4399"
"3.1.8.1"	"yHMPu5000041822_Dipodascus_geniculatus@Seq_4399"
"1.1.1.40"	"yHMPu5000034902_Ogataea_minuta@Seq_552"
"4.6.1.13"	"Sclerotinia_sclerotiorum@Seq_10981"
"2.3.1.20"	"Arxula_adeninivorans@Seq_4391"
"2.3.1.75"	"Arxula_adeninivorans@Seq_4391"
"2.3.1.76"	"Arxula_adeninivorans@Seq_4391"
"3.2.1.39"	"Fusarium_graminearum@Seq_2576"
"1.4.3.21"	"yHMPu5000034631_Martiniozyma_abiesophila@Seq_11347"
"3.3.2.9"	"Neurospora_crassa@Seq_10575"
"3.3.2.9"	"yHMPu5000034760_Lipomyces_kononenkoae@Seq_2474"
"1.13.11.4"	"yHMPu5000041829_Debaryomyces_fabryi@Seq_4162"
"2.7.1.83"	"yHMPu5000034952_Citeromyces_siamensis@Seq_4514"
"4.2.1.70"	"yHMPu5000034952_Citeromyces_siamensis@Seq_4514"
"3.2.1.75"	"Arthrobotrys_oligospora@Seq_1408"
"3.2.1.20"	"yHMPu5000034761_Lipomyces_lipofer@Seq_2248"
"1.5.3.1"	"Ambrosiozyma_monospora@Seq_6306"
"1.5.3.7"	"Ambrosiozyma_monospora@Seq_6306"
"3.1.1.11"	"Aspergillus_nidulans@Seq_5155"
"1.14.18.1"	"Arthrobotrys_oligospora@Seq_7587"
"1.14.13.7"	"Aspergillus_nidulans@Seq_6264"
"3.2.1.89"	"Aspergillus_nidulans@Seq_10025"
"2.7.11.2"	"Metschnikowia_ipomoeae@Seq_2851"
"1.14.13.1"	"Botrytis_cinerea@Seq_8752"
"1.14.13.22"	"Metschnikowia_kipukae@Seq_1387"
"1.13.11.78"	"yHMPu5000034605_Spencermartinsiella_europaea@Seq_3923"
"2.4.2.2"	"Wickerhamiella_domercqiae@Seq_2013"
"2.4.2.4"	"Wickerhamiella_domercqiae@Seq_2013"
"3.4.23.24"	"yHMPu5000035641_Yamadazyma_scolyti@Seq_830"
"2.3.3.8"	"Geotrichum_candidum@Seq_849"
"6.4.1.1"	"Metschnikowia_matae@Seq_1396"
"1.1.1.399"	"yHMPu5000034952_Citeromyces_siamensis@Seq_2485"
"1.1.1.95"	"yHMPu5000034952_Citeromyces_siamensis@Seq_2485"
"3.2.1.40"	"yHMPu5000035641_Yamadazyma_scolyti@Seq_2429"
"1.14.19.18"	"yHMPu5000035675_Kregervanrija_fluxuum@Seq_666"
"2.7.1.90"	"yHMPu5000034605_Spencermartinsiella_europaea@Seq_6304"
"1.14.18.1"	"Aspergillus_nidulans@Seq_1698"
"1.14.99.51"	"Lipomyces_starkeyi@Seq_7426"
"2.1.1.261"	"Lipomyces_starkeyi@Seq_7426"
"2.1.1.44"	"Lipomyces_starkeyi@Seq_7426"
"2.3.3.13"	"Candida_sojae@Seq_2846"
"3.1.3.8"	"Stagonospora_nodorum@Seq_3089"
"4.1.2.4"	"Aspergillus_nidulans@Seq_3500"
"2.2.1.3"	"Lipomyces_starkeyi@Seq_4707"
"3.1.1.72"	"Aspergillus_nidulans@Seq_9366"
"3.6.3.6"	"yHMPu5000035244_Candida_incommunis@Seq_335"
"1.11.1.7"	"Arthrobotrys_oligospora@Seq_7273"
"1.3.1.33"	"yHMPu5000034749_Lipomyces_mesembrius@Seq_2719"
"3.6.3.10"	"Metschnikowia_ipomoeae@Seq_5826"
"3.6.3.9"	"Metschnikowia_ipomoeae@Seq_5826"
"4.2.1.53"	"yHMPu5000035691_Candida_salmanticensis@Seq_5339"
"6.4.1.1"	"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_359"
"1.1.3.15"	"yHMPu5000035650_Trigonopsis_variabilis@Seq_3837"
"3.2.1.23"	"yHMPu5000034754_Lipomyces_arxii@Seq_2000"
"4.2.1.104"	"yHMPu5000034761_Lipomyces_lipofer@Seq_5810"
"3.4.23.5"	"yHMPu5000034884_Peterozyma_toletana@Seq_1304"
"4.2.1.90"	"yHMPu5000034978_Cyberlindnera_mrakii@Seq_5355"
"1.4.3.3"	"yHMPu5000034988_Candida_fructus@Seq_1864"
"3.4.23.24"	"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_4278"
"1.5.3.1"	"Alloascoidea_hylecoeti@Seq_452"
"1.5.3.7"	"Alloascoidea_hylecoeti@Seq_452"
"3.8.1.2"	"Xylona_heveae@Seq_6569"
"3.5.3.11"	"yHMPu5000026137_Ambrosiozyma_ambrosiae@Seq_6120"
"3.2.1.65"	"yHMPu5000034754_Lipomyces_arxii@Seq_5632"
"3.2.1.80"	"yHMPu5000034754_Lipomyces_arxii@Seq_5632"
"3.10.1.1"	"yHMPu5000034903_Ogataea_naganishii@Seq_1050"
"2.3.3.13"	"Metschnikowia_matae@Seq_3410"
"4.2.1.91"	"Stagonospora_nodorum@Seq_11969"
"3.2.1.52"	"yHMPu5000034673_Blastobotrys_nivea@Seq_5385"
"3.2.1.23"	"yHMPu5000034754_Lipomyces_arxii@Seq_7794"
"2.7.8.7"	"Starmerella_bombicola_JCM9596@Seq_4301"
"2.3.1.20"	"yHMPu5000034952_Citeromyces_siamensis@Seq_443"
"2.3.1.75"	"yHMPu5000034952_Citeromyces_siamensis@Seq_443"
"2.3.1.76"	"yHMPu5000034952_Citeromyces_siamensis@Seq_443"
"3.4.23.5"	"Saccharomycopsis_malanga@Seq_318"
"5.1.3.34"	"yHMPu5000034754_Lipomyces_arxii@Seq_5360"
"4.1.3.16"	"Fusarium_graminearum@Seq_6383"
"4.3.1.2"	"Arthrobotrys_oligospora@Seq_10586"
"3.1.3.8"	"Arthrobotrys_oligospora@Seq_6946"
"1.14.13.195"	"Coccidioides_immitis@Seq_6274"
"1.14.13.196"	"Coccidioides_immitis@Seq_6274"
"3.4.23.24"	"yHMPu5000034623_Pichia_norvegensis@Seq_3396"
"1.3.8.6"	"Arthrobotrys_oligospora@Seq_8174"
"1.14.11.8"	"Metschnikowia_continentalis@Seq_6118"
"3.5.1.49"	"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_699"
"3.4.14.9"	"Sclerotinia_sclerotiorum@Seq_3214"
"1.6.99.1"	"yHMPu5000034625_Pichia_kudriavzevii@Seq_1044"
"4.2.1.110"	"Aspergillus_nidulans@Seq_205"
"1.14.11.2"	"Arthrobotrys_oligospora@Seq_4099"
"3.4.23.24"	"yHMPu5000034990_Candida_corydali@Seq_2622"
"2.1.1.293"	"Stagonospora_nodorum@Seq_11261"
"3.4.19.3"	"Xylona_heveae@Seq_289"
"3.4.17.22"	"yHMPu5000034952_Citeromyces_siamensis@Seq_7358"
"1.1.1.157"	"yHMPu5000034635_Nadsonia_fulvescens@Seq_2608"
"3.6.3.7"	"yHMPu5000034952_Citeromyces_siamensis@Seq_9067"
"1.6.99.1"	"yHMPu5000034902_Ogataea_minuta@Seq_81"
"6.2.1.17"	"Botrytis_cinerea@Seq_8384"
"2.7.1.83"	"yHMPu5000034594_Starmera_quercuum@Seq_2976"
"4.2.1.70"	"yHMPu5000034594_Starmera_quercuum@Seq_2976"
"3.1.2.28"	"Candida_versatilis@Seq_4107"
"1.11.1.21"	"Candida_apicola@Seq_2135"
"1.5.3.1"	"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_1098"
"1.5.3.7"	"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_1098"
"3.2.1.1"	"Neurospora_crassa@Seq_9017"
"3.2.1.39"	"Stagonospora_nodorum@Seq_1133"
"4.2.1.130"	"Metschnikowia_borealis@Seq_2776"
"2.4.2.29"	"Nadsonia_fulvescens_var_elongata@Seq_4257"
"2.7.9.2"	"yHMPu5000034761_Lipomyces_lipofer@Seq_3620"
"1.14.14.29"	"yHMPu5000034749_Lipomyces_mesembrius@Seq_61"
"4.2.1.17"	"yHMPu5000034661_Dipodascus_albidus@Seq_3608"
"3.1.3.5"	"Alloascoidea_hylecoeti@Seq_335"
"3.2.1.22"	"Lachancea_nothofagi@Seq_1338"
"1.1.99.1"	"Aspergillus_nidulans@Seq_8254"
"4.2.1.95"	"Aspergillus_nidulans@Seq_9198"
"3.2.1.37"	"Aspergillus_nidulans@Seq_2964"
"3.5.2.2"	"Aspergillus_nidulans@Seq_7008"
"1.1.1.358"	"yHMPu5000034761_Lipomyces_lipofer@Seq_2255"
"2.7.11.26"	"yHMPu5000035643_Yarrowia_bubula@Seq_3276"
"1.7.3.3"	"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_693"
"3.4.24.39"	"Sclerotinia_sclerotiorum@Seq_11967"
"6.2.1.16"	"Lipomyces_starkeyi@Seq_4086"
"2.3.1.128"	"Starmerella_bombicola_JCM9596@Seq_3859"
"2.1.1.293"	"Fusarium_graminearum@Seq_11338"
"3.2.1.10"	"Metschnikowia_hamakuensis@Seq_5036"
"3.2.1.20"	"Metschnikowia_hamakuensis@Seq_5036"
"3.2.1.41"	"yHMPu5000034610_Saturnispora_hagleri@Seq_1353"
"3.6.3.10"	"yHMPu5000035274_Wickerhamomyces_alni@Seq_1673"
"3.6.3.9"	"yHMPu5000035274_Wickerhamomyces_alni@Seq_1673"
"1.6.99.1"	"Vanderwaltozyma_polyspora@Seq_499"
"3.1.1.17"	"Candida_versatilis@Seq_1111"
"3.4.11.2"	"Candida_intermedia@Seq_4226"
"3.8.1.2"	"Lipomyces_starkeyi@Seq_8107"
"1.14.18.1"	"Fusarium_graminearum@Seq_10550"
"3.4.23.24"	"yHMPu5000034648_Candida_restingae@Seq_4674"
"1.14.14.54"	"Pichia_membranifaciens@Seq_3416"
"2.4.1.144"	"Fusarium_graminearum@Seq_8699"
"3.1.4.1"	"yHMPu5000034671_Blastobotrys_peoriensis@Seq_44"
"1.14.13.1"	"Neurospora_crassa@Seq_487"
"3.2.1.8"	"Arthrobotrys_oligospora@Seq_411"
"1.1.1.30"	"yHMPu5000034893_Ogataea_philodendra@Seq_3378"
"4.2.1.130"	"Metschnikowia_ipomoeae@Seq_2512"
"3.3.2.9"	"Lachancea_waltii@Seq_2000"
"1.1.99.18"	"Botrytis_cinerea@Seq_13364"
"1.6.99.1"	"Stagonospora_nodorum@Seq_12097"
"3.2.1.4"	"Aspergillus_nidulans@Seq_8276"
"1.5.3.1"	"Lachancea_nothofagi@Seq_3224"
"1.5.3.7"	"Lachancea_nothofagi@Seq_3224"
"1.1.1.358"	"yHMPu5000034631_Martiniozyma_abiesophila@Seq_7402"
"3.2.2.29"	"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_2446"
"2.7.8.7"	"Coccidioides_immitis@Seq_5509"
"1.1.1.184"	"Arthrobotrys_oligospora@Seq_2054"
"1.1.1.189"	"Arthrobotrys_oligospora@Seq_2054"
"1.1.1.197"	"Arthrobotrys_oligospora@Seq_2054"
"1.6.99.1"	"yHMPu5000034749_Lipomyces_mesembrius@Seq_6654"
"3.2.1.99"	"Aspergillus_nidulans@Seq_1422"
"3.5.3.11"	"Ascoidea_asiatica@Seq_6967"
"1.1.1.372"	"Fusarium_graminearum@Seq_1806"
"4.3.1.15"	"yHMPu5000041829_Debaryomyces_fabryi@Seq_1935"
"1.1.1.157"	"Lipomyces_starkeyi@Seq_7051"
"1.14.13.96"	"yHMPu5000034754_Lipomyces_arxii@Seq_5198"
"1.14.18.8"	"yHMPu5000034754_Lipomyces_arxii@Seq_5198"
"2.7.11.2"	"Metschnikowia_mauinuiana@Seq_3851"
"3.6.3.6"	"yHMPu5000034673_Blastobotrys_nivea@Seq_8188"
"4.1.2.53"	"yHMPu5000041678_Debaryomyces_prosopidis@Seq_635"
"1.1.1.205"	"yHMPu5000035301_Pichia_terricola@Seq_3803"
"1.1.1.289"	"Debaryomyces_hansenii@Seq_5326"
"3.2.1.52"	"Debaryomyces_hansenii@Seq_542"
"3.2.1.4"	"Arthrobotrys_oligospora@Seq_3414"
"3.1.1.20"	"Sclerotinia_sclerotiorum@Seq_8339"
"4.2.1.6"	"yHMPu5000034673_Blastobotrys_nivea@Seq_1924"
"3.4.11.5"	"Stagonospora_nodorum@Seq_11472"
"2.3.3.14"	"yHMPu5000034631_Martiniozyma_abiesophila@Seq_12460"
"1.1.1.289"	"yHMPu5000034754_Lipomyces_arxii@Seq_1282"
"1.1.1.289"	"yHMPu5000041678_Debaryomyces_prosopidis@Seq_2537"
"1.1.1.352"	"Stagonospora_nodorum@Seq_2064"
"2.4.1.80"	"Arthrobotrys_oligospora@Seq_4141"
"3.4.23.24"	"yHMPu5000034648_Candida_restingae@Seq_2855"
"1.1.99.18"	"Stagonospora_nodorum@Seq_7363"
"2.3.1.168"	"yHMPu5000034655_Botryozyma_nematodophila@Seq_1705"
"2.7.8.7"	"Geotrichum_candidum@Seq_5524"
"1.14.11.17"	"Babjeviella_inositovora@Seq_1214"
"3.2.1.91"	"Neurospora_crassa@Seq_7170"
"1.2.1.8"	"Xylona_heveae@Seq_242"
"1.1.3.9"	"yHMPu5000034749_Lipomyces_mesembrius@Seq_7489"
"2.3.1.45"	"yHMPu5000035665_Middelhovenomyces_tepae@Seq_1014"
"1.6.99.1"	"Spathaspora_gorwiae@Seq_1249"
"2.1.1.6"	"yHMPu5000034671_Blastobotrys_peoriensis@Seq_5718"
"3.1.6.1"	"yHMPu5000026142_Citeromyces_matritensis@Seq_5573"
"1.7.1.1"	"yHMPu5000034978_Cyberlindnera_mrakii@Seq_4349"
"1.7.1.2"	"yHMPu5000034978_Cyberlindnera_mrakii@Seq_4349"
"1.7.1.3"	"yHMPu5000034978_Cyberlindnera_mrakii@Seq_4349"
"1.4.3.21"	"Metschnikowia_matae_maris@Seq_454"
"3.4.23.24"	"Metschnikowia_continentalis@Seq_5496"
"1.1.99.1"	"Stagonospora_nodorum@Seq_2358"
"5.4.3.2"	"Sclerotinia_sclerotiorum@Seq_13076"
"1.13.11.5"	"Arthrobotrys_oligospora@Seq_2807"
"4.1.1.52"	"Saitoella_complicata@Seq_2042"
"2.7.1.49"	"yHMPu5000035261_Candida_ponderosae@Seq_5536"
"2.7.4.7"	"yHMPu5000035261_Candida_ponderosae@Seq_5536"
"3.5.99.2"	"yHMPu5000035261_Candida_ponderosae@Seq_5536"
"4.2.1.130"	"Metschnikowia_santaceciliae@Seq_1133"
"3.5.3.11"	"yHMPu5000026137_Ambrosiozyma_ambrosiae@Seq_1708"
"3.5.3.11"	"Metschnikowia_borealis@Seq_774"
"3.1.2.22"	"yHMPu5000035699_Cyberlindnera_maclurae@Seq_3928"
"1.14.18.1"	"Neurospora_crassa@Seq_2482"
"1.13.12.4"	"yHMPu5000035652_Torulaspora_maleeae@Seq_264"
"1.17.1.4"	"yHMPu5000034673_Blastobotrys_nivea@Seq_1098"
"1.17.3.2"	"yHMPu5000034673_Blastobotrys_nivea@Seq_1098"
"2.1.1.77"	"Botrytis_cinerea@Seq_12889"
"2.8.1.12"	"yHMPu5000034605_Spencermartinsiella_europaea@Seq_717"
"1.7.1.1"	"yHMPu5000035687_Cyberlindnera_suaveolens@Seq_1707"
"1.7.1.2"	"yHMPu5000035687_Cyberlindnera_suaveolens@Seq_1707"
"1.7.1.3"	"yHMPu5000035687_Cyberlindnera_suaveolens@Seq_1707"
"1.14.13.22"	"yHMPu5000041829_Debaryomyces_fabryi@Seq_5144"
"3.5.1.122"	"yHMPu5000034761_Lipomyces_lipofer@Seq_4772"
"3.4.13.19"	"Dekkera_bruxellensis@Seq_2119"
"3.5.1.49"	"yHMPu5000034749_Lipomyces_mesembrius@Seq_2116"
"3.5.3.11"	"yHMPu5000026137_Ambrosiozyma_ambrosiae@Seq_5630"
"2.6.1.59"	"Fusarium_graminearum@Seq_6024"
"3.1.1.11"	"yHMPu5000035686_Cyberlindnera_saturnus@Seq_1418"
"3.5.2.2"	"Lipomyces_starkeyi@Seq_604"
"2.3.1.47"	"Sclerotinia_sclerotiorum@Seq_7682"
"4.3.1.24"	"Saitoella_complicata@Seq_5207"
"2.7.11.2"	"yHMPu5000041840_Candida_wancherniae@Seq_1849"
"4.2.1.90"	"yHMPu5000026137_Ambrosiozyma_ambrosiae@Seq_4374"
"1.1.1.31"	"Metschnikowia_santaceciliae@Seq_6081"
"1.1.1.250"	"yHMPu5000035048_Barnettozyma_salicaria@Seq_317"
"3.2.1.4"	"Stagonospora_nodorum@Seq_10289"
